Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
1.92,582,225.5,0.0055,25.2,43.08,1.63,
1.95,587,226.7,0.0055,25.2,41.52,1.62,
1.98,592,228.1,0.0055,25.2,39.72,1.6,
2.01,598,229.2,0.0055,25.2,37.22,1.57,
2.04,603,230.2,0.0065,25.2,35.67,1.55,
2.07,608,231.3,0.006,25.2,,,
2.1,613,232.3,0.006,25.2,,,
2.13,618,233.2,0.006,25.2,,,
2.16,623,234.3,0.006,25.2,,,
2.19,628,235.1,0.006,25.2,,,
Scope 1/1, Sample 1/18 (Junk2),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-69,NaN,22.1,,,
0.06,8,-73.7,0.008,21.8,,,
0.12,28,-64.6,0.003,21.9,,,
0.18,48,-52.4,0.003,21.9,,,
0.24,68,-35.4,0.003,21.9,,,
0.3,88,-13.9,0.003,22,,,
0.36,108,0.8,0.003,22,,,
0.42,128,10.8,0.003,22,,,
0.48,149,18.8,0.003,22.1,,,
0.54,169,26,0.003,22.1,,,
0.6,189,32.7,0.003,22.1,,,
0.66,209,39,0.003,22.2,,,
0.72,229,45.1,0.003,22.2,,,
0.78,249,50.9,0.003,22.2,,,
0.84,270,56.8,0.003,22.3,,,
0.9,290,62.6,0.003,22.3,,,
0.96,310,68.7,0.003,22.3,,,
1.02,330,75,0.003,22.4,,,
1.08,348,81.8,0.0035,22.4,,,
1.14,366,89.9,0.0035,22.4,,,
1.2,383,99.8,0.0035,22.4,,,
1.26,398,112.9,0.004,22.5,287.42,2.46,
1.32,409,132.2,0.0055,22.5,323.3,2.51,
1.38,417,157.6,0.008,22.5,318.99,2.5,
1.44,423,176.1,0.0105,22.5,268.88,2.43,
1.5,428,187.5,0.012,22.5,188.38,2.28,
1.53,524,184.6,0.0005,22.6,131.13,2.12,
1.56,529,189.5,0.006,22.7,87.07,1.94,
1.59,534,193.6,0.006,22.7,87.94,1.94,
1.62,539,197.3,0.006,22.7,104.87,2.02,
1.65,544,200.6,0.006,22.7,115.71,2.06,
1.68,549,203.3,0.006,22.7,88.44,1.95,
1.71,554,205.8,0.0055,22.7,80.4,1.91,
1.74,559,208,0.0055,22.7,73.43,1.87,
1.77,565,210.3,0.0055,22.7,67.82,1.83,
1.8,570,212.3,0.006,22.7,63.41,1.8,
1.83,575,214.1,0.006,22.7,58.72,1.77,
1.86,580,215.7,0.006,22.7,54.94,1.74,
1.89,585,217.3,0.006,22.7,51.22,1.71,
1.92,590,218.9,0.006,22.7,48.93,1.69,
1.95,595,220.3,0.006,22.7,46.81,1.67,
1.98,600,221.7,0.0055,22.7,44.48,1.65,
2.01,605,222.9,0.0055,22.8,41.94,1.62,
2.04,610,224.2,0.0055,22.8,40.14,1.6,
2.07,616,225.4,0.0055,22.8,39,1.59,
2.1,621,226.5,0.0065,22.8,37.48,1.57,
2.13,626,227.6,0.006,22.8,35.66,1.55,
2.16,631,228.7,0.006,22.8,33.99,1.53,
2.19,636,229.7,0.006,22.8,32.82,1.52,
2.22,641,230.6,0.006,22.8,31.28,1.5,
2.25,646,231.5,0.006,22.8,,,
2.28,651,232.5,0.006,22.8,,,
2.31,656,233.3,0.0055,22.8,,,
2.34,661,234.1,0.0055,22.8,,,
2.37,666,235,0.0055,22.8,,,
Scope 1/1, Sample 1/18 (Tank1_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-76.1,NaN,21.9,,,
0.06,6,-79.2,0.009,21.7,,,
0.12,24,-71.3,0.0035,21.7,,,
0.18,44,-60.4,0.003,21.7,,,
0.24,64,-46.4,0.003,21.8,,,
0.3,84,-25.9,0.003,21.8,,,
0.36,104,-6.5,0.003,21.9,,,
0.42,124,4.9,0.003,21.9,,,
0.48,144,14.2,0.003,21.9,,,
0.54,164,21.7,0.003,22,,,
0.6,185,28.9,0.003,22,,,
0.66,205,35.4,0.003,22,,,
0.72,225,41.7,0.003,22.1,,,
0.78,245,47.6,0.003,22.1,,,
0.84,265,53.7,0.003,22.1,,,
0.9,285,59.5,0.003,22.2,,,
0.96,305,65.6,0.003,22.2,,,
1.02,326,71.7,0.003,22.2,,,
1.08,346,78.6,0.003,22.3,,,
1.14,365,86.3,0.003,22.3,,,
1.2,384,95.4,0.003,22.3,,,
1.26,402,107.1,0.0035,22.4,268.89,2.43,
1.32,416,124.6,0.004,22.4,320.03,2.51,
1.38,428,150.7,0.005,22.4,342.96,2.54,
1.44,435,172.7,0.0085,22.4,319.03,2.5,
1.5,441,185.9,0.01,22.4,248.11,2.39,
1.53,537,190.9,0.0005,22.6,190.48,2.28,
1.56,544,195,0.0045,22.6,131.15,2.12,
1.59,550,198.9,0.0055,22.6,106.71,2.03,
1.62,555,201.9,0.006,22.6,99.33,2,
1.65,560,204.8,0.0055,22.6,89.81,1.95,
1.68,566,207.5,0.005,22.6,81.08,1.91,
1.71,571,209.8,0.006,22.6,73.69,1.87,
1.74,576,211.8,0.0055,22.6,68.37,1.83,
1.77,582,213.8,0.0055,22.6,62.68,1.8,
1.8,587,215.7,0.0065,22.6,58.68,1.77,
1.83,592,217.4,0.006,22.6,55.96,1.75,
1.86,597,219,0.006,22.7,52.82,1.72,
1.89,602,220.5,0.006,22.7,49.27,1.69,
1.92,608,222,0.0055,22.7,46.27,1.67,
1.95,613,223.4,0.006,22.7,43.94,1.64,
1.98,618,224.6,0.006,22.7,41.96,1.62,
2.01,623,225.8,0.006,22.7,40.34,1.61,
2.04,628,227,0.006,22.7,38.27,1.58,
2.07,633,228.2,0.0055,22.7,36.79,1.57,
2.1,638,229.3,0.0055,22.7,35.87,1.55,
2.13,644,230.3,0.0055,22.7,34.29,1.54,
2.16,649,231.2,0.0065,22.7,,,
2.19,654,232.3,0.0065,22.7,,,
2.22,659,233.3,0.006,22.8,,,
2.25,664,234.1,0.006,22.8,,,
2.28,669,235,0.006,22.8,,,
Scope 1/1, Sample 1/18 (Tank2_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-65.4,NaN,22.4,,,
0.06,7,-69.9,0.008,22.2,,,
0.12,28,-59.6,0.003,22.2,,,
0.18,48,-45.3,0.003,22.3,,,
0.24,68,-24.8,0.003,22.3,,,
0.3,88,-5.9,0.003,22.3,,,
0.36,108,5.4,0.003,22.4,,,
0.42,128,14.5,0.003,22.4,,,
0.48,148,21.8,0.003,22.4,,,
0.54,168,28.5,0.003,22.5,,,
0.6,188,34.8,0.003,22.5,,,
0.66,209,40.8,0.003,22.5,,,
0.72,229,46.7,0.003,22.6,,,
0.78,249,52.4,0.003,22.6,,,
0.84,269,57.9,0.003,22.6,,,
0.9,288,63.8,0.003,22.6,,,
0.96,306,69.1,0.0035,22.7,,,
1.02,326,75.6,0.003,22.7,,,
1.08,346,82.5,0.003,22.7,,,
1.14,361,90,0.004,22.8,,,
1.2,381,100.5,0.003,22.8,,,
1.26,395,113.2,0.0045,22.8,286.02,2.46,
1.32,408,133.4,0.0045,22.8,328.32,2.52,
1.38,417,159.3,0.007,22.8,335.8,2.53,
1.44,424,178,0.009,22.8,295.51,2.47,
1.5,430,189.7,0.0105,22.9,218.39,2.34,
1.53,526,194,0.0005,23,160.04,2.2,
1.56,532,197.8,0.005,23,112.41,2.05,
1.59,537,201.2,0.0055,23,98.32,1.99,
1.62,542,204.1,0.0055,23,92.15,1.96,
1.65,548,206.8,0.005,23,84.74,1.93,
1.68,554,209.3,0.005,23,76.89,1.89,
1.71,559,211.4,0.006,23,71.04,1.85,
1.74,565,213.6,0.005,23,65.51,1.82,
1.77,570,215.3,0.006,23,61.06,1.79,
1.8,575,217.2,0.006,23,56.58,1.75,
1.83,583,218.9,0.0035,23.1,53.43,1.73,
1.86,588,220.3,0.0055,23.1,49.93,1.7,
1.89,594,221.9,0.005,23.1,46.93,1.67,
1.92,599,223.1,0.006,23.1,44.45,1.65,
1.95,605,224.6,0.005,23.1,42.65,1.63,
1.98,610,225.7,0.0055,23.1,40.58,1.61,
2.01,616,226.9,0.0055,23.1,38.68,1.59,
2.04,621,228.2,0.006,23.1,37.71,1.58,
2.07,627,229.1,0.0055,23.1,35.57,1.55,
2.1,632,230.2,0.006,23.1,34.05,1.53,
2.13,637,231.3,0.006,23.1,31.78,1.5,
2.16,642,232.2,0.006,23.1,,,
2.19,647,233,0.0055,23.1,,,
2.22,652,233.9,0.0055,23.2,,,
2.25,658,234.8,0.0055,23.2,,,
2.28,662,235.7,0.0065,23.2,,,
Scope 1/1, Sample 1/18 (Tank3_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-58.6,NaN,22.9,,,
0.06,9,-66.8,0.007,22.9,,,
0.12,29,-55.7,0.003,22.9,,,
0.18,49,-40.4,0.003,22.9,,,
0.24,69,-19.9,0.003,22.9,,,
0.3,89,-3.7,0.003,23,,,
0.36,109,6.9,0.003,23,,,
0.42,129,15.4,0.003,23,,,
0.48,150,22.6,0.003,23,,,
0.54,170,29,0.003,23.1,,,
0.6,190,35.1,0.003,23.1,,,
0.66,210,40.8,0.003,23.1,,,
0.72,230,46.3,0.003,23.1,,,
0.78,250,51.7,0.003,23.2,,,
0.84,270,57,0.003,23.2,,,
0.9,290,62.3,0.003,23.2,,,
0.96,309,67.6,0.003,23.2,,,
1.02,328,73.6,0.003,23.3,,,
1.08,345,79.6,0.0035,23.3,,,
1.14,362,86.7,0.0035,23.3,,,
1.2,380,95.6,0.0035,23.3,,,
1.26,396,106.2,0.0035,23.3,246.74,2.39,
1.32,412,121.6,0.004,23.4,302.3,2.48,
1.38,424,145.3,0.005,23.4,334.29,2.52,
1.44,432,169.1,0.008,23.4,323.07,2.51,
1.5,438,183.8,0.01,23.4,264.23,2.42,
1.53,534,189.2,0.0005,23.5,212.1,2.33,
1.56,540,193.7,0.005,23.5,149.99,2.18,
1.59,546,197.5,0.005,23.5,113.87,2.06,
1.62,551,200.9,0.006,23.5,104.46,2.02,
1.65,556,204.1,0.006,23.5,95.6,1.98,
1.68,562,206.8,0.0055,23.5,86.67,1.94,
1.71,567,209.2,0.006,23.5,78.98,1.9,
1.74,572,211.5,0.0055,23.5,72.02,1.86,
1.77,577,213.6,0.0055,23.5,65.97,1.82,
1.8,583,215.5,0.0055,23.5,61.03,1.79,
1.83,588,217.3,0.0065,23.5,56.56,1.75,
1.86,593,218.9,0.006,23.5,53.23,1.73,
1.89,598,220.4,0.006,23.5,50.57,1.7,
1.92,603,221.9,0.006,23.6,48.84,1.69,
1.95,608,223.4,0.006,23.6,46.87,1.67,
1.98,613,224.8,0.006,23.6,44.13,1.64,
2.01,618,226,0.006,23.6,41,1.61,
2.04,623,227.3,0.0055,23.6,37.95,1.58,
2.07,628,228.3,0.0055,23.6,35.89,1.55,
2.1,634,229.3,0.0055,23.6,34.43,1.54,
2.13,639,230.4,0.0065,23.6,33.84,1.53,
2.16,644,231.4,0.0065,23.6,,,
2.19,649,232.4,0.006,23.6,,,
2.22,654,233.3,0.006,23.6,,,
2.25,659,234.3,0.006,23.6,,,
2.28,664,235.1,0.006,23.6,,,
Scope 1/1, Sample 1/18 (Tank4_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-87.6,NaN,23.3,,,
0.06,9,-87.2,0.007,23.3,,,
0.12,26,-80.2,0.0035,23.3,,,
0.18,46,-71.5,0.003,23.3,,,
0.24,67,-60.9,0.003,23.3,,,
0.3,87,-46.6,0.003,23.4,,,
0.36,107,-25.7,0.003,23.4,,,
0.42,127,-6.2,0.003,23.4,,,
0.48,147,5.5,0.003,23.4,,,
0.54,167,15.2,0.003,23.5,,,
0.6,187,23.4,0.003,23.5,,,
0.66,207,30.7,0.003,23.5,,,
0.72,228,37.6,0.003,23.5,,,
0.78,248,44,0.003,23.5,,,
0.84,268,50.3,0.003,23.6,,,
0.9,288,56.5,0.003,23.6,,,
0.96,308,62.6,0.003,23.6,,,
1.02,328,69.1,0.003,23.6,,,
1.08,348,75.8,0.003,23.6,,,
1.14,368,83.3,0.003,23.6,,,
1.2,388,92,0.003,23.7,,,
1.26,406,102.9,0.0035,23.7,246.63,2.39,
1.32,422,118.2,0.0035,23.7,304.14,2.48,
1.38,434,141.6,0.005,23.7,340.7,2.53,
1.44,442,166.5,0.007,23.7,334.12,2.52,
1.5,449,182.3,0.009,23.7,277,2.44,
1.53,546,188.1,0.0005,23.8,226.04,2.35,
1.56,552,192.8,0.0055,23.8,161.81,2.21,
1.59,557,196.9,0.006,23.8,119.81,2.08,
1.62,562,200.4,0.0055,23.8,107.31,2.03,
1.65,568,203.6,0.0055,23.8,97.17,1.99,
1.68,573,206.3,0.0065,23.8,87.81,1.94,
1.71,578,208.8,0.006,23.8,79.73,1.9,
1.74,583,211.1,0.006,23.8,73.15,1.86,
1.77,588,213.3,0.0055,23.8,67.5,1.83,
1.8,593,215.2,0.0055,23.8,62.89,1.8,
1.83,598,217,0.0055,23.8,58.23,1.77,
1.86,604,218.7,0.005,23.8,54.6,1.74,
1.89,609,220.3,0.006,23.8,51.23,1.71,
1.92,614,221.8,0.006,23.8,48.8,1.69,
1.95,619,223.2,0.006,23.8,46.15,1.66,
1.98,624,224.6,0.006,23.9,43.61,1.64,
2.01,629,225.8,0.0055,23.9,41.47,1.62,
2.04,634,227.1,0.0055,23.9,39.48,1.6,
2.07,639,228.2,0.0055,23.9,37.8,1.58,
2.1,644,229.3,0.0055,23.9,35.96,1.56,
2.13,650,230.4,0.0055,23.9,34.65,1.54,
2.16,655,231.4,0.0065,23.9,,,
2.19,660,232.4,0.006,23.9,,,
2.22,665,233.3,0.006,23.9,,,
2.25,670,234.3,0.006,23.9,,,
2.28,675,235.2,0.006,23.9,,,
Scope 1/1, Sample 1/18 (Tank5_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-66.2,NaN,23.5,,,
0.06,13,-69.1,0.0045,23.5,,,
0.12,33,-58.8,0.003,23.5,,,
0.18,53,-44.6,0.003,23.6,,,
0.24,73,-24.8,0.003,23.6,,,
0.3,93,-6.5,0.003,23.6,,,
0.36,114,4.7,0.003,23.6,,,
0.42,134,13.9,0.003,23.6,,,
0.48,154,21.4,0.003,23.7,,,
0.54,174,28.1,0.003,23.7,,,
0.6,194,34.3,0.003,23.7,,,
0.66,214,40.2,0.003,23.7,,,
0.72,234,45.8,0.003,23.7,,,
0.78,254,51.3,0.003,23.7,,,
0.84,274,56.8,0.003,23.7,,,
0.9,295,62.2,0.003,23.8,,,
0.96,315,67.8,0.003,23.8,,,
1.02,335,73.6,0.003,23.8,,,
1.08,354,79.8,0.003,23.8,,,
1.14,372,87,0.0035,23.8,,,
1.2,389,95.8,0.0035,23.8,,,
1.26,406,106.9,0.0035,23.8,251.41,2.4,
1.32,421,122.7,0.004,23.9,305.94,2.49,
1.38,432,146.6,0.0055,23.9,336.29,2.53,
1.44,440,170.2,0.0075,23.9,322.75,2.51,
1.5,446,184.8,0.009,23.9,261.6,2.42,
1.53,543,190,0.0005,23.9,209.21,2.32,
1.56,549,194.5,0.005,23.9,147.62,2.17,
1.59,555,198.4,0.005,23.9,112.51,2.05,
1.62,560,201.7,0.006,23.9,103.29,2.01,
1.65,566,204.8,0.0055,24,94.08,1.97,
1.68,571,207.4,0.0065,24,84.85,1.93,
1.71,576,209.9,0.0065,24,77.27,1.89,
1.74,581,212.1,0.0065,24,71.15,1.85,
1.77,586,214.1,0.006,24,65.71,1.82,
1.8,591,216.1,0.006,24,60.88,1.78,
1.83,596,217.8,0.006,24,56.54,1.75,
1.86,601,219.5,0.006,24,53.1,1.73,
1.89,606,221,0.0055,24,50.07,1.7,
1.92,612,222.4,0.0055,24,47.62,1.68,
1.95,616,223.9,0.0065,24,45.85,1.66,
1.98,622,225.2,0.0055,24,43.27,1.64,
2.01,627,226.5,0.0065,24,40.81,1.61,
2.04,632,227.7,0.006,24,38.66,1.59,
2.07,637,228.8,0.006,24,36.77,1.57,
2.1,642,229.8,0.006,24,35.27,1.55,
2.13,647,230.9,0.006,24,34.18,1.53,
2.16,652,232,0.006,24,,,
2.19,657,232.9,0.006,24,,,
2.22,662,233.8,0.0055,24,,,
2.25,667,234.8,0.0055,24,,,
2.28,672,235.6,0.0055,24,,,
Scope 1/1, Sample 1/18 (Tank6_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-64.6,NaN,23.7,,,
0.06,13,-68,0.0045,23.7,,,
0.12,33,-57.4,0.003,23.7,,,
0.18,53,-43,0.003,23.7,,,
0.24,73,-22.7,0.003,23.8,,,
0.3,94,-5.3,0.003,23.8,,,
0.36,114,5.7,0.003,23.8,,,
0.42,134,14.8,0.003,23.8,,,
0.48,154,22.2,0.003,23.8,,,
0.54,174,28.9,0.003,23.8,,,
0.6,194,35.1,0.003,23.9,,,
0.66,214,41,0.003,23.9,,,
0.72,234,46.6,0.003,23.9,,,
0.78,254,52.1,0.003,23.9,,,
0.84,274,57.6,0.003,23.9,,,
0.9,295,63,0.003,23.9,,,
0.96,315,68.6,0.003,24,,,
1.02,335,74.5,0.003,24,,,
1.08,354,80.9,0.003,24,,,
1.14,373,88.2,0.003,24,,,
1.2,390,97.1,0.0035,24,,,
1.26,406,108.6,0.004,24,259.52,2.41,
1.32,421,125.4,0.004,24,311.56,2.49,
1.38,432,150.1,0.0055,24,337.03,2.53,
1.44,439,172.5,0.008,24,317.05,2.5,
1.5,445,186.2,0.0095,24,251.11,2.4,
1.53,541,191.3,0.0005,24.1,196.87,2.29,
1.56,546,195.6,0.0055,24.1,138.24,2.14,
1.59,552,199.3,0.005,24.1,109.23,2.04,
1.62,557,202.6,0.006,24.1,100.87,2,
1.65,562,205.6,0.006,24.1,91.61,1.96,
1.68,567,208.2,0.0055,24.1,82.67,1.92,
1.71,572,210.5,0.0055,24.1,75.45,1.88,
1.74,577,212.7,0.0055,24.1,69.5,1.84,
1.77,582,214.7,0.0055,24.1,64.69,1.81,
1.8,588,216.6,0.0055,24.1,60.42,1.78,
1.83,593,218.4,0.0065,24.1,56.27,1.75,
1.86,598,220,0.006,24.1,52.42,1.72,
1.89,603,221.5,0.006,24.1,49.09,1.69,
1.92,608,222.9,0.006,24.1,46.08,1.66,
1.95,613,224.3,0.006,24.1,44.14,1.64,
1.98,618,225.6,0.006,24.2,42.29,1.63,
2.01,623,226.8,0.006,24.2,40.47,1.61,
2.04,628,228,0.0055,24.2,38.86,1.59,
2.07,633,229.2,0.0055,24.2,36.94,1.57,
2.1,638,230.2,0.0055,24.2,35.47,1.55,
2.13,644,231.3,0.0055,24.2,,,
2.16,649,232.3,0.0065,24.2,,,
2.19,654,233.2,0.006,24.2,,,
2.22,659,234.2,0.006,24.2,,,
2.25,664,235.1,0.006,24.2,,,
Scope 1/1, Sample 1/18 (Tank7_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-73.8,NaN,24,,,
0.06,12,-75,0.005,24,,,
0.12,32,-65.8,0.003,24.1,,,
0.18,52,-53.7,0.003,24.1,,,
0.24,73,-37.3,0.003,24.1,,,
0.3,93,-16.5,0.003,24.1,,,
0.36,113,-0.8,0.003,24.1,,,
0.42,133,9.7,0.003,24.1,,,
0.48,153,18.1,0.003,24.1,,,
0.54,173,25.5,0.003,24.2,,,
0.6,193,32.2,0.003,24.2,,,
0.66,214,38.5,0.003,24.2,,,
0.72,234,44.7,0.003,24.2,,,
0.78,254,50.4,0.003,24.2,,,
0.84,274,56.1,0.003,24.2,,,
0.9,294,61.8,0.003,24.2,,,
0.96,314,67.7,0.003,24.3,,,
1.02,334,73.9,0.003,24.3,,,
1.08,353,80.4,0.003,24.3,,,
1.14,372,88.1,0.003,24.3,,,
1.2,390,97.3,0.003,24.3,,,
1.26,406,109.2,0.004,24.3,269.16,2.43,
1.32,420,127,0.004,24.3,319.12,2.5,
1.38,430,152.4,0.006,24.3,339.53,2.53,
1.44,437,174.1,0.008,24.3,313.92,2.5,
1.5,443,187.3,0.0105,24.3,243.35,2.39,
1.53,539,191.9,0.0005,24.4,186.92,2.27,
1.56,544,196.1,0.0055,24.4,130.08,2.11,
1.59,550,199.8,0.005,24.4,105.57,2.02,
1.62,555,203,0.006,24.4,98.88,2,
1.65,560,205.9,0.006,24.4,90.72,1.96,
1.68,565,208.5,0.0055,24.4,81.39,1.91,
1.71,570,210.8,0.0055,24.4,74.26,1.87,
1.74,576,212.9,0.0055,24.4,68.5,1.84,
1.77,581,214.9,0.0065,24.4,63.55,1.8,
1.8,586,216.8,0.006,24.4,59.22,1.77,
1.83,591,218.5,0.006,24.4,55.42,1.74,
1.86,596,220.1,0.006,24.4,51.76,1.71,
1.89,601,221.6,0.006,24.4,48.75,1.69,
1.92,606,223,0.006,24.4,46.81,1.67,
1.95,611,224.4,0.006,24.4,44.81,1.65,
1.98,616,225.7,0.0055,24.4,42.65,1.63,
2.01,621,227,0.0055,24.4,40.34,1.61,
2.04,626,228.2,0.0055,24.4,37.94,1.58,
2.07,632,229.2,0.0055,24.4,35.95,1.56,
2.1,637,230.3,0.0065,24.4,34.48,1.54,
2.13,642,231.3,0.006,24.4,,,
2.16,647,232.3,0.006,24.5,,,
2.19,652,233.3,0.006,24.5,,,
2.22,657,234.2,0.006,24.5,,,
2.25,662,235.1,0.006,24.5,,,
Scope 1/1, Sample 1/18 (Tank8_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-63.5,NaN,24.3,,,
0.06,16,-66.4,0.004,24.4,,,
0.12,36,-55.7,0.003,24.4,,,
0.18,56,-40.8,0.003,24.4,,,
0.24,76,-20.3,0.003,24.4,,,
0.3,96,-4.3,0.003,24.4,,,
0.36,116,6.6,0.003,24.4,,,
0.42,137,15.3,0.003,24.5,,,
0.48,157,22.6,0.003,24.5,,,
