Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
1.32,423,128,0.004,22.9,309.54,2.49,
1.38,434,152.9,0.0055,22.9,330.95,2.52,
1.44,442,173.7,0.0075,22.9,306.99,2.49,
1.5,448,186.6,0.009,22.9,239.1,2.38,
1.53,547,191.7,0.0005,23,185.08,2.27,
1.56,552,195.8,0.0055,23,130.01,2.11,
1.59,558,199.3,0.0055,23.1,106.23,2.03,
1.62,564,202.6,0.005,23.1,97.68,1.99,
1.65,569,205.4,0.006,23.1,88.18,1.95,
1.68,574,207.8,0.0055,23.1,80,1.9,
1.71,580,210.2,0.0045,23.1,73.54,1.87,
1.74,586,212.4,0.0055,23.1,68.32,1.83,
1.77,591,214.2,0.0065,23.1,64.04,1.81,
1.8,597,216.1,0.005,23.1,59.13,1.77,
1.83,602,218,0.0055,23.1,54.72,1.74,
1.86,607,219.5,0.0055,23.1,51.72,1.71,
1.89,612,220.9,0.0055,23.1,49.16,1.69,
1.92,618,222.3,0.0055,23.1,46.12,1.66,
1.95,624,223.8,0.0055,23.1,43.93,1.64,
1.98,629,225.1,0.0065,23.1,42.14,1.62,
2.01,634,226.3,0.006,23.2,39.82,1.6,
2.04,639,227.4,0.006,23.2,37.81,1.58,
2.07,644,228.5,0.006,23.2,36.47,1.56,
2.1,649,229.6,0.0055,23.2,35.13,1.55,
2.13,654,230.7,0.0055,23.2,33.65,1.53,
2.16,660,231.7,0.0055,23.2,,,
2.19,665,232.6,0.0065,23.2,,,
2.22,670,233.4,0.0065,23.2,,,
2.25,675,234.4,0.006,23.2,,,
2.28,680,235.3,0.0055,23.2,,,
Scope 1/1, Sample 1/18 (C4_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-28.4,NaN,23.1,,,
0.06,8,-50.7,0.007,23.1,,,
0.12,28,-36.7,0.003,23.1,,,
0.18,49,-16.5,0.003,23.1,,,
0.24,69,-1.3,0.003,23.1,,,
0.3,89,8.3,0.003,23.1,,,
0.36,109,16.2,0.003,23.2,,,
0.42,129,23,0.003,23.2,,,
0.48,149,29.2,0.003,23.2,,,
0.54,169,35,0.003,23.2,,,
0.6,190,40.4,0.003,23.3,,,
0.66,210,45.5,0.003,23.3,,,
0.72,230,50.7,0.003,23.3,,,
0.78,250,55.7,0.003,23.3,,,
0.84,270,60.6,0.003,23.4,,,
0.9,290,66,0.003,23.4,,,
0.96,310,71.3,0.003,23.4,,,
1.02,328,76.7,0.0035,23.4,,,
1.08,345,83.2,0.0035,23.4,,,
1.14,365,90.8,0.003,23.5,,,
1.2,382,99.6,0.0035,23.5,,,
1.26,397,111.5,0.004,23.5,264.85,2.42,
1.32,411,129.1,0.0045,23.5,312.46,2.49,
1.38,421,154.1,0.006,23.5,332.3,2.52,
1.44,429,174.8,0.0075,23.5,306.75,2.49,
1.5,435,187.6,0.01,23.5,236.98,2.37,
1.53,536,192.7,0.0005,23.6,182.25,2.26,
1.56,541,196.6,0.006,23.6,127.66,2.11,
1.59,547,200.1,0.005,23.6,104.74,2.02,
1.62,553,203.2,0.0055,23.6,96.53,1.98,
1.65,558,206.2,0.006,23.7,87.88,1.94,
1.68,563,208.6,0.006,23.7,80.78,1.91,
1.71,570,211,0.0045,23.7,73.66,1.87,
1.74,575,213,0.0065,23.7,68.01,1.83,
1.77,581,215,0.005,23.7,62.85,1.8,
1.8,586,216.9,0.0055,23.7,58.92,1.77,
1.83,592,218.6,0.0055,23.7,55.09,1.74,
1.86,597,220.2,0.0065,23.7,51.76,1.71,
1.89,602,221.6,0.006,23.7,48.6,1.69,
1.92,607,223.1,0.006,23.7,46.34,1.67,
1.95,614,224.5,0.0045,23.7,43.74,1.64,
1.98,620,225.7,0.005,23.7,41.27,1.62,
2.01,626,227,0.0045,23.7,39.73,1.6,
2.04,631,228.1,0.0055,23.7,37.57,1.57,
2.07,636,229.1,0.0055,23.7,35.94,1.56,
2.1,643,230.3,0.0045,23.7,34.71,1.54,
2.13,648,231.4,0.006,23.7,,,
2.16,653,232.2,0.006,23.7,,,
2.19,658,233.2,0.0055,23.7,,,
2.22,664,234.2,0.0055,23.8,,,
2.25,669,235.1,0.0065,23.8,,,
Scope 1/1, Sample 1/18 (C5_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-37.8,NaN,23.3,,,
0.06,4,-55.4,0.0155,23.3,,,
0.12,24,-42.8,0.003,23.3,,,
0.18,44,-23.5,0.003,23.3,,,
0.24,64,-5.6,0.003,23.3,,,
0.3,84,5.1,0.003,23.4,,,
0.36,104,13.8,0.003,23.4,,,
0.42,125,21,0.003,23.4,,,
0.48,145,27.5,0.003,23.4,,,
0.54,165,33.4,0.003,23.5,,,
0.6,185,38.9,0.003,23.5,,,
0.66,205,44.3,0.003,23.5,,,
0.72,225,49.5,0.003,23.5,,,
0.78,245,54.6,0.003,23.5,,,
0.84,266,59.7,0.003,23.6,,,
0.9,286,64.9,0.003,23.6,,,
0.96,305,70.3,0.003,23.6,,,
1.02,323,76,0.0035,23.6,,,
1.08,338,81.9,0.004,23.6,,,
1.14,356,89.6,0.0035,23.7,,,
1.2,372,98.2,0.0035,23.7,,,
1.26,388,109.7,0.004,23.7,257.17,2.41,
1.32,403,126.4,0.004,23.7,307.52,2.49,
1.38,416,150.8,0.005,23.7,331.02,2.52,
1.44,423,172.5,0.008,23.7,311.76,2.49,
1.5,430,185.9,0.009,23.7,246.67,2.39,
1.53,527,191.2,0.0005,23.8,193.82,2.29,
1.56,532,195.4,0.0055,23.8,137.31,2.14,
1.59,539,199.1,0.0045,23.8,109.92,2.04,
1.62,544,202.4,0.0055,23.8,100.85,2,
1.65,550,205.3,0.005,23.9,91.41,1.96,
1.68,556,208,0.0055,23.9,83.59,1.92,
1.71,561,210.3,0.006,23.9,76.11,1.88,
1.74,566,212.5,0.006,23.9,69.7,1.84,
1.77,572,214.6,0.005,23.9,64.02,1.81,
1.8,577,216.4,0.006,23.9,59.36,1.77,
1.83,582,218.1,0.0055,23.9,55.43,1.74,
1.86,588,219.7,0.0055,23.9,51.54,1.71,
1.89,593,221.2,0.006,23.9,48.94,1.69,
1.92,598,222.7,0.006,23.9,46.81,1.67,
1.95,603,224,0.006,23.9,44.27,1.65,
1.98,608,225.3,0.006,23.9,42,1.62,
2.01,613,226.6,0.006,23.9,39.8,1.6,
2.04,618,227.7,0.0055,23.9,37.75,1.58,
2.07,624,228.8,0.0055,23.9,36.34,1.56,
2.1,629,229.9,0.0065,23.9,34.8,1.54,
2.13,634,230.9,0.0065,23.9,33.42,1.52,
2.16,639,231.9,0.0065,23.9,,,
2.19,644,232.9,0.006,23.9,,,
2.22,649,233.8,0.006,24,,,
2.25,654,234.7,0.006,24,,,
2.28,659,235.7,0.006,24,,,
Scope 1/1, Sample 1/18 (C6_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-27.9,NaN,23.7,,,
0.06,8,-51.4,0.007,23.7,,,
0.12,29,-37.1,0.003,23.7,,,
0.18,49,-16.8,0.003,23.7,,,
0.24,69,-1.9,0.003,23.8,,,
0.3,89,7.9,0.003,23.8,,,
0.36,109,15.8,0.003,23.8,,,
0.42,129,22.7,0.003,23.8,,,
0.48,150,28.8,0.003,23.8,,,
0.54,170,34.6,0.003,23.8,,,
0.6,190,40,0.003,23.9,,,
0.66,210,45.3,0.003,23.9,,,
0.72,230,50.3,0.003,23.9,,,
0.78,250,55.4,0.003,23.9,,,
0.84,270,60.5,0.003,23.9,,,
0.9,286,64.9,0.0035,24,,,
0.96,306,70.6,0.003,24,,,
1.02,324,76.2,0.0035,24,,,
1.08,344,82.6,0.003,24,,,
1.14,362,89.5,0.0035,24,,,
1.2,382,98.3,0.003,24,,,
1.26,399,109.2,0.0035,24,248.4,2.4,
1.32,415,124.9,0.004,24.1,300.61,2.48,
1.38,427,148.8,0.005,24.1,329.56,2.52,
1.44,435,171.3,0.0075,24.1,314.78,2.5,
1.5,441,185.2,0.01,24.1,254.38,2.41,
1.53,538,190.7,0.0005,24.1,202.63,2.31,
1.56,544,195.1,0.005,24.2,143.3,2.16,
1.59,550,198.9,0.0055,24.2,111.37,2.05,
1.62,555,202.1,0.006,24.2,101.35,2.01,
1.65,560,205,0.006,24.2,91.32,1.96,
1.68,566,207.6,0.005,24.2,83.85,1.92,
1.71,571,210.1,0.0055,24.2,77.49,1.89,
1.74,577,212.4,0.0045,24.2,71.89,1.86,
1.77,582,214.4,0.0055,24.2,66.03,1.82,
1.8,588,216.3,0.005,24.2,60.94,1.78,
1.83,593,218.1,0.006,24.2,56.22,1.75,
1.86,598,219.7,0.006,24.2,52.36,1.72,
1.89,603,221.2,0.006,24.2,49.47,1.69,
1.92,608,222.7,0.006,24.2,46.61,1.67,
1.95,613,224,0.0055,24.2,44.08,1.64,
1.98,618,225.3,0.0055,24.2,41.81,1.62,
2.01,624,226.6,0.0055,24.2,39.8,1.6,
2.04,629,227.7,0.0065,24.2,38.29,1.58,
2.07,634,228.8,0.006,24.2,36.81,1.57,
2.1,639,229.9,0.006,24.2,35.32,1.55,
2.13,644,231,0.006,24.2,33.95,1.53,
2.16,649,232,0.006,24.2,,,
2.19,654,232.9,0.0055,24.2,,,
2.22,659,233.9,0.0055,24.2,,,
2.25,664,234.8,0.0055,24.2,,,
2.28,670,235.8,0.0055,24.2,,,
Scope 1/1, Sample 1/18 (C7_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-62.6,NaN,24,,,
0.06,11,-69.7,0.0055,24,,,
0.12,31,-59.2,0.003,24,,,
0.18,51,-44.6,0.003,24.1,,,
0.24,72,-24.4,0.003,24.1,,,
0.3,92,-5.7,0.003,24.1,,,
0.36,112,6.2,0.003,24.1,,,
0.42,132,15.7,0.003,24.1,,,
0.48,152,23.7,0.003,24.1,,,
0.54,172,30.7,0.003,24.1,,,
0.6,192,37.5,0.003,24.2,,,
0.66,212,43.7,0.003,24.2,,,
0.72,232,50.1,0.003,24.2,,,
0.78,253,56,0.003,24.2,,,
0.84,273,62,0.003,24.2,,,
0.9,293,68.3,0.003,24.2,,,
0.96,313,74.7,0.003,24.2,,,
1.02,332,81.9,0.003,24.3,,,
1.08,352,90.1,0.003,24.3,,,
1.14,372,100.4,0.003,24.3,,,
1.2,390,114.5,0.0035,24.3,296.95,2.47,
1.26,404,135.6,0.0045,24.3,336.11,2.53,
1.32,414,161.7,0.006,24.3,338.88,2.53,
1.38,421,179.8,0.0085,24.3,293.95,2.47,
1.44,427,191.2,0.01,24.3,212.47,2.33,
1.47,523,195.6,0.0005,24.4,154.85,2.19,
1.5,529,199.2,0.005,24.4,109.41,2.04,
1.53,535,202.7,0.005,24.4,97.27,1.99,
1.56,540,205.6,0.006,24.4,90.2,1.96,
1.59,545,208.1,0.0055,24.4,82.84,1.92,
1.62,551,210.4,0.005,24.4,76.35,1.88,
1.65,556,212.7,0.006,24.4,70.15,1.85,
1.68,561,214.8,0.006,24.4,64.82,1.81,
1.71,566,216.7,0.0055,24.4,60.47,1.78,
1.74,572,218.4,0.0055,24.4,56.11,1.75,
1.77,577,219.9,0.0065,24.4,51.44,1.71,
1.8,582,221.4,0.0065,24.4,49.17,1.69,
1.83,587,223.1,0.006,24.4,46.96,1.67,
1.86,592,224.3,0.006,24.4,44.69,1.65,
1.89,597,225.5,0.006,24.4,42.74,1.63,
1.92,602,227,0.006,24.4,41.04,1.61,
1.95,607,228,0.006,24.4,39.03,1.59,
1.98,612,229.2,0.0055,24.4,37.2,1.57,
2.01,618,230.4,0.0055,24.4,35.03,1.54,
2.04,623,231.4,0.0065,24.4,,,
2.07,628,232.2,0.0065,24.4,,,
2.1,633,233.2,0.006,24.4,,,
2.13,640,234.3,0.0045,24.4,,,
2.16,645,235.1,0.006,24.4,,,
Scope 1/1, Sample 1/18 (C8_End_0626_2300),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-49.9,NaN,24.4,,,
0.06,5,-63.5,0.0115,24.4,,,
0.12,25,-50.9,0.003,24.4,,,
0.18,46,-32.2,0.003,24.5,,,
0.24,66,-11.5,0.003,24.5,,,
0.3,86,2.3,0.003,24.5,,,
0.36,106,12.1,0.003,24.5,,,
0.42,126,20.4,0.003,24.5,,,
0.48,146,27.6,0.003,24.5,,,
0.54,166,34.2,0.003,24.5,,,
0.6,186,40.3,0.003,24.5,,,
0.66,206,46.5,0.003,24.5,,,
0.72,227,52.2,0.003,24.6,,,
0.78,247,58.1,0.003,24.6,,,
0.84,267,64.1,0.003,24.6,,,
0.9,287,70.1,0.003,24.6,,,
