DATE,CORAL_NUM,GENOTYPE,RUN_NUM,CHAMBER,Temp.C,mmol.gram.hr_uncorr,P_R,NetPhoto,Respiration,GrossPhoto
6/27/24,203,X,1,9,27.553619049999998,1.2018344625e-4,R,NA,-1.0570469625000001e-4,NA
6/27/24,43,N,1,1,27.63061905,5.175585257142857e-5,R,NA,-4.513699542857143e-5,NA
6/27/24,51,F,1,3,27.68757143,5.4729729729729724e-5,R,NA,-4.8468648648648646e-5,NA
6/27/24,78,L,1,8,27.8232381,4.653818181818181e-5,R,NA,-3.951818181818182e-5,NA
6/27/24,8,J,1,10,27.951,2.0527714285714288e-5,R,NA,-1.7218285714285717e-5,NA
6/27/24,BLANK,BLANK,1,4,27.71767347,2.545714285714286e-6,R,NA,0,NA
6/27/24,1,T,2,2,27.52855,3.1609960714285715e-5,R,NA,-2.6769246428571434e-5,NA
6/27/24,101,U,2,3,27.4537,3.429237599999999e-5,R,NA,-2.7515375999999995e-5,NA
6/27/24,102,I,2,6,27.4757,3.2120210930232554e-5,R,NA,-2.7392071395348832e-5,NA
6/27/24,106,D,2,7,27.3712,7.8557796e-5,R,NA,-6.5003796e-5,NA
6/27/24,114,S,2,8,27.52565,5.634502560000002e-5,R,NA,-5.092342560000002e-5,NA
6/27/24,33,F,2,9,27.2614,1.960403657142857e-4,R,NA,-1.6699607999999996e-4,NA
6/27/24,53,L,2,10,27.2929,4.7816325e-5,R,NA,-4.2733575000000005e-5,NA
6/27/24,68,F,2,4,27.41495,7.711074e-5,R,NA,-6.205074e-5,NA
6/27/24,76,K,2,1,27.4565,6.009876e-5,R,NA,-5.180039265306122e-5,NA
6/27/24,BLANK,BLANK,2,5,27.5038,4.4683516483516485e-6,R,NA,0,NA
6/28/24,108,F,3,2,27.30584211,5.0525125116279074e-5,R,NA,-4.7315264651162784e-5,NA
6/28/24,115,W,3,8,27.45105263,5.4047597142857154e-5,R,NA,-5.225507766233767e-5,NA
6/28/24,140,V,3,10,27.13605263,7.222166689655173e-5,R,NA,-6.746221862068964e-5,NA
6/28/24,208,X,3,4,27.33842105,5.9971995e-5,R,NA,-5.5658745000000006e-5,NA
6/28/24,36,W,3,3,27.08836842,8.314673823529411e-5,R,NA,-7.90872088235294e-5,NA
6/28/24,37,C,3,5,27.35294737,5.51819603076923e-5,R,NA,-5.305851415384615e-5,NA
6/28/24,38,I,3,7,27.36484211,4.204597026315789e-5,R,NA,-4.0229865000000003e-5,NA
6/28/24,71,M,3,9,26.98752632,4.2244610400000006e-4,R,NA,-3.9484130400000003e-4,NA
6/28/24,90,G,3,1,27.27821053,1.538332061538462e-4,R,NA,-1.4321597538461542e-4,NA
6/28/24,BLANK,BLANK,3,6,27.12715789,1.516747252747253e-6,R,NA,0,NA
6/28/24,110,K,4,5,25.64216667,4.4274108539325846e-5,R,NA,-4.0415232134831456e-5,NA
6/28/24,13,U,4,6,27.03877778,5.4129949411764704e-5,R,NA,-4.739583176470588e-5,NA
6/28/24,137,P,4,8,27.33605556,1.07568e-4,R,NA,-8.4672e-5,NA
6/28/24,156,H,4,1,27.26633333,5.586012610169492e-5,R,NA,-5.003910915254238e-5,NA
6/28/24,16,B,4,2,27.34972222,4.052224384615384e-5,R,NA,-3.391762846153845e-5,NA
6/28/24,25,M,4,4,27.46027778,1.626150109090909e-4,R,NA,-1.3139319272727272e-4,NA
6/28/24,27,I,4,9,26.77766667,4.62145095e-5,R,NA,-4.192150949999999e-5,NA
6/28/24,41,B,4,10,27.08311111,5.411912400000001e-5,R,NA,-5.0303124e-5,NA
6/28/24,59,K,4,3,27.05461111,2.603778230769231e-5,R,NA,-2.1634705384615386e-5,NA
6/28/24,BLANK,BLANK,4,7,27.40227778,3.7740659340659346e-6,R,NA,0,NA
6/28/24,113,C,5,1,27.24063158,5.352197999999999e-5,R,NA,-4.707197999999999e-5,NA
6/28/24,118,N,5,9,26.90652632,1.0033850347826087e-4,R,NA,-9.276676434782608e-5,NA
6/28/24,127,P,5,2,27.21963158,3.4425e-4,R,NA,-2.57175e-4,NA
6/28/24,141,T,5,7,27.33594737,3.6781255774647887e-5,R,NA,-3.187562197183099e-5,NA
6/28/24,149,O,5,3,26.94289474,1.3168638e-4,R,NA,-1.1233638000000002e-4,NA
6/28/24,151,W,5,6,26.88447368,9.186352941176472e-5,R,NA,-7.137529411764707e-5,NA
6/28/24,155,W,5,10,27.26910526,1.3419000000000001e-4,R,NA,-1.0516500000000001e-4,NA
6/28/24,28,P,5,4,27.36152632,5.911946999999999e-5,R,NA,-5.0826612857142846e-5,NA
6/28/24,BLANK,BLANK,5,8,27.39115789,3.827472527472528e-6,R,NA,0,NA
6/28/24,128,R,6,6,27.28977778,2.362609840909091e-5,R,NA,-1.913428022727273e-5,NA
6/28/24,135,P,6,5,27.43411111,7.160399999999999e-4,R,NA,-5.183999999999999e-4,NA
6/28/24,136,S,6,3,27.28983333,2.4921e-4,R,NA,-1.8333e-4,NA
6/28/24,19,L,6,10,27.40838889,2.0045448e-4,R,NA,-1.5653448e-4,NA
6/28/24,2,M,6,4,27.46644444,6.020876322580646e-5,R,NA,-4.745779548387097e-5,NA
6/28/24,48,I,6,2,27.44655556,3.249222289156627e-5,R,NA,-2.7729813253012047e-5,NA
6/28/24,74,E,6,7,27.46905556,5.022644399999999e-5,R,NA,-4.144244400000001e-5,NA
6/28/24,80,S,6,8,27.56483333,0.00103518,R,NA,-6.399e-4,NA
6/28/24,95,L,6,1,27.40533333,2.9400088378378386e-5,R,NA,-2.4058466756756762e-5,NA
6/28/24,BLANK,BLANK,6,9,27.13561111,4.343736263736264e-6,R,NA,0,NA
6/28/24,10,G,7,8,27.50084211,6.713262947368422e-5,R,NA,-5.664526105263158e-5,NA
6/28/24,117,J,7,4,27.41573684,1.1279608105263156e-4,R,NA,-9.182134421052631e-5,NA
6/28/24,134,U,7,5,26.92452632,8.511494727272726e-5,R,NA,-6.700040181818181e-5,NA
6/28/24,18,V,7,3,27.45478947,5.8871070000000004e-5,R,NA,-4.7801070000000003e-5,NA
6/28/24,206,Q,7,6,26.91410526,2.5560938571428577e-4,R,NA,-1.9867795714285718e-4,NA
6/28/24,21,N,7,1,27.40915789,7.633008e-5,R,NA,-6.611161846153846e-5,NA
6/28/24,210,Q,7,7,27.42094737,3.6430155000000006e-5,R,NA,-3.0203280000000005e-5,NA
6/28/24,63,E,7,9,26.93615789,9.39955776923077e-5,R,NA,-7.866788538461539e-5,NA
6/28/24,64,K,7,2,27.31447368,3.3409584e-5,R,NA,-2.872111341176471e-5,NA
6/28/24,BLANK,BLANK,7,10,27.13831579,4.37934065934066e-6,R,NA,0,NA
6/28/24,100,U,8,7,27.29135,6.428213018181818e-5,R,NA,-5.9274857454545465e-5,NA
6/28/24,145,D,8,5,27.29945,5.1092532e-5,R,NA,-4.4207532e-5,NA
6/28/24,204,Q,8,2,27.35685,5.237999999999999e-4,R,NA,-4.3199999999999993e-4,NA
6/28/24,58,A,8,9,26.8206,4.3742655e-5,R,NA,-3.9917655e-5,NA
6/28/24,66,R,8,8,27.4773,4.363164290322581e-5,R,NA,-3.9189707419354846e-5,NA
6/28/24,73,B,8,6,26.8231,3.453261827586207e-5,R,NA,-2.97843424137931e-5,NA
6/28/24,86,E,8,4,27.38715,1.1065355999999998e-4,R,NA,-9.753927428571426e-5,NA
6/28/24,97,V,8,3,26.94275,3.59540775e-5,R,NA,-3.103622035714286e-5,NA
6/28/24,BLANK,BLANK,8,1,27.31195,3.026373626373627e-6,R,NA,0,NA
6/29/24,146,O,9,7,27.21938889,1.958507462686567e-5,R,NA,-1.876782089552239e-5,NA
6/29/24,147,H,9,3,26.619,1.79e-5,R,NA,-1.7224000000000003e-5,NA
6/29/24,207,X,9,4,27.05061111,2.0053636363636366e-5,R,NA,-1.9224000000000004e-5,NA
6/29/24,46,C,9,8,27.09338889,6.0831e-5,R,NA,-5.80932e-5,NA
6/29/24,6,J,9,9,26.70655556,3.622909090909091e-5,R,NA,-3.498463636363637e-5,NA
6/29/24,60,J,9,6,26.75638889,4.514869565217391e-5,R,NA,-4.2768e-5,NA
6/29/24,8,J,9,1,27.00766667,1.807457142857143e-5,R,NA,-1.7292342857142857e-5,NA
6/29/24,85,E,9,5,26.97916667,6.136560000000001e-5,R,NA,-5.9175360000000013e-5,NA
6/29/24,92,G,9,10,27.03744444,6.0698333571428584e-5,R,NA,-5.8742762142857154e-5,NA
6/29/24,BLANK,BLANK,9,2,26.91322222,6.017142857142858e-7,R,NA,0,NA
6/29/24,104,G,10,5,27.23910526,3.333667655172414e-5,R,NA,-3.0431848965517244e-5,NA
6/29/24,125,T,10,7,27.34615789,4.982947875e-5,R,NA,-4.456447875000001e-5,NA
6/29/24,138,R,10,3,26.92621053,4.951517040000001e-5,R,NA,-4.4460770400000004e-5,NA
6/29/24,139,T,10,10,27.20831579,4.619125836734693e-5,R,NA,-4.103370734693878e-5,NA
6/29/24,15,V,10,4,27.33289474,5.3475528292682934e-5,R,NA,-4.7311625853658545e-5,NA
6/29/24,159,H,10,9,26.783,5.901718075471698e-5,R,NA,-5.4248878867924535e-5,NA
6/29/24,40,A,10,2,27.28052632,4.2000941739130435e-5,R,NA,-3.8338333043478264e-5,NA
6/29/24,50,I,10,8,27.30715789,4.7442272926829266e-5,R,NA,-4.4360321707317065e-5,NA
6/29/24,BLANK,BLANK,10,6,26.95415789,2.777142857142857e-6,R,NA,0,NA
6/29/24,111,A,11,5,27.17247368,5.868947368421053e-5,R,NA,-5.192526315789474e-5,NA
6/29/24,123,S,11,2,27.35042105,8.361569249999999e-5,R,NA,-6.75506925e-5,NA
6/29/24,162,O,11,1,25.47321053,3.06830025e-4,R,NA,-2.58635025e-4,NA
6/29/24,56,A,11,3,27.14457895,5.2680780000000004e-5,R,NA,-4.447737574468086e-5,NA
6/29/24,96,N,11,6,27.04478947,3.864573737704918e-5,R,NA,-3.232508163934426e-5,NA
6/29/24,BLANK,BLANK,11,4,27.24484211,4.236923076923077e-6,R,NA,0,NA
