Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
1.98,592,228.1,0.0055,25.3,39,1.59,
2.01,597,229.2,0.0065,25.3,37.33,1.57,
2.04,602,230.3,0.0065,25.3,35.49,1.55,
2.07,607,231.3,0.0065,25.3,,,
2.1,612,232.3,0.006,25.3,,,
2.13,617,233.3,0.006,25.3,,,
2.16,622,234.2,0.006,25.3,,,
2.19,627,235.1,0.006,25.3,,,
Scope 1/1, Sample 1/18 (Junk2),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-61.1,NaN,25.5,,,
0.06,16,-63,0.0035,25.5,,,
0.12,37,-51.6,0.003,25.5,,,
0.18,57,-35.3,0.003,25.5,,,
0.24,77,-15.2,0.003,25.5,,,
0.3,97,-0.6,0.003,25.5,,,
0.36,117,9.3,0.003,25.5,,,
0.42,137,17.4,0.003,25.5,,,
0.48,158,24.4,0.003,25.5,,,
0.54,178,30.8,0.003,25.5,,,
0.6,198,36.7,0.003,25.5,,,
0.66,218,42.3,0.003,25.5,,,
0.72,238,47.7,0.003,25.5,,,
0.78,258,53,0.003,25.5,,,
0.84,278,58.3,0.003,25.5,,,
0.9,298,63.5,0.003,25.5,,,
0.96,318,69,0.003,25.5,,,
1.02,338,74.6,0.003,25.5,,,
1.08,355,80.7,0.0035,25.5,,,
1.14,372,88,0.0035,25.5,,,
1.2,389,96.5,0.0035,25.5,,,
1.26,406,107.8,0.0035,25.5,250.58,2.4,
1.32,421,123.5,0.004,25.5,304.48,2.48,
1.38,432,147.3,0.0055,25.5,334.52,2.52,
1.44,439,170.7,0.008,25.5,321.31,2.51,
1.5,445,185.1,0.01,25.5,260.32,2.42,
1.53,541,190.5,0.0005,25.5,208.89,2.32,
1.56,546,195,0.0055,25.5,148.01,2.17,
1.59,552,198.9,0.0055,25.5,113.24,2.05,
1.62,557,202.3,0.006,25.5,103.47,2.01,
1.65,562,205.2,0.006,25.5,93.37,1.97,
1.68,568,207.9,0.005,25.5,84.33,1.93,
1.71,573,210.3,0.006,25.5,77.1,1.89,
1.74,578,212.6,0.006,25.5,70.98,1.85,
1.77,583,214.6,0.006,25.5,65.69,1.82,
1.8,588,216.5,0.006,25.5,61.09,1.79,
1.83,593,218.3,0.0055,25.5,56.89,1.76,
1.86,598,219.9,0.0055,25.5,53.21,1.73,
1.89,604,221.5,0.0055,25.5,50.48,1.7,
1.92,609,223,0.0065,25.5,47.94,1.68,
1.95,614,224.3,0.0065,25.5,45.81,1.66,
1.98,619,225.7,0.0065,25.5,43.14,1.63,
2.01,624,227,0.006,25.5,40.98,1.61,
2.04,629,228.2,0.006,25.5,38.97,1.59,
2.07,634,229.3,0.006,25.5,36.94,1.57,
2.1,639,230.3,0.006,25.5,35.33,1.55,
2.13,644,231.5,0.0055,25.5,,,
2.16,649,232.4,0.0055,25.5,,,
2.19,654,233.4,0.0055,25.5,,,
2.22,660,234.4,0.0055,25.5,,,
2.25,665,235.2,0.0065,25.5,,,
Scope 1/1, Sample 1/18 (Tank15_0616_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-63.3,NaN,25.4,,,
0.06,17,-65.1,0.0035,25.4,,,
0.12,38,-53.8,0.003,25.4,,,
0.18,58,-37.7,0.003,25.4,,,
0.24,78,-18.1,0.003,25.4,,,
0.3,98,-3,0.003,25.4,,,
0.36,118,7.4,0.003,25.4,,,
0.42,138,15.9,0.003,25.4,,,
0.48,158,23.1,0.003,25.4,,,
0.54,178,29.6,0.003,25.4,,,
0.6,199,35.6,0.003,25.4,,,
0.66,219,41.4,0.003,25.4,,,
0.72,239,46.8,0.003,25.4,,,
0.78,259,52.1,0.003,25.4,,,
0.84,279,57.4,0.003,25.4,,,
0.9,299,62.6,0.003,25.4,,,
0.96,318,67.9,0.003,25.4,,,
1.02,337,73.6,0.003,25.4,,,
1.08,356,79.8,0.003,25.4,,,
1.14,375,86.8,0.003,25.4,,,
1.2,392,95.1,0.0035,25.4,,,
1.26,409,105.6,0.0035,25.4,238.44,2.38,
1.32,425,120.4,0.0035,25.4,295.2,2.47,
1.38,437,143,0.005,25.4,332.09,2.52,
1.44,444,167.5,0.008,25.4,327.09,2.51,
1.5,451,183,0.009,25.4,272.68,2.44,
1.53,548,188.7,0.0005,25.4,223.62,2.35,
1.56,553,193.5,0.0055,25.4,161.12,2.21,
1.59,559,197.6,0.0055,25.4,119.31,2.08,
1.62,564,201,0.0065,25.4,107.14,2.03,
1.65,569,204.2,0.006,25.4,96.31,1.98,
1.68,574,206.8,0.006,25.4,86.93,1.94,
1.71,579,209.4,0.0055,25.4,79.79,1.9,
1.74,585,211.7,0.005,25.4,73.48,1.87,
1.77,591,213.8,0.005,25.4,67.5,1.83,
1.8,597,215.8,0.0055,25.4,62.61,1.8,
1.83,602,217.6,0.0055,25.4,57.5,1.76,
1.86,608,219.2,0.0055,25.4,53.89,1.73,
1.89,613,220.8,0.0065,25.4,50.94,1.71,
1.92,618,222.3,0.006,25.4,48.61,1.69,
1.95,623,223.7,0.006,25.4,46.48,1.67,
1.98,628,225.1,0.006,25.4,43.99,1.64,
2.01,633,226.4,0.0055,25.4,41.47,1.62,
2.04,638,227.6,0.0055,25.4,39.29,1.59,
2.07,644,228.7,0.0055,25.4,37.47,1.57,
2.1,649,229.8,0.006,25.4,35.61,1.55,
2.13,654,230.9,0.006,25.4,34.66,1.54,
2.16,659,231.9,0.006,25.4,,,
2.19,664,232.9,0.006,25.4,,,
2.22,669,233.8,0.006,25.4,,,
2.25,674,234.8,0.006,25.4,,,
2.28,679,235.6,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (Tank16_0616_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-64,NaN,25.2,,,
0.06,16,-65.2,0.0035,25.3,,,
0.12,37,-53.6,0.003,25.3,,,
0.18,57,-37.1,0.003,25.3,,,
0.24,77,-17.1,0.003,25.3,,,
0.3,97,-2,0.003,25.3,,,
0.36,117,8.2,0.003,25.3,,,
0.42,137,16.9,0.003,25.3,,,
0.48,157,23.9,0.003,25.3,,,
0.54,178,30.4,0.003,25.3,,,
0.6,198,36.4,0.003,25.3,,,
0.66,218,42.2,0.003,25.3,,,
0.72,238,47.6,0.003,25.3,,,
0.78,258,52.9,0.003,25.3,,,
0.84,277,58.2,0.003,25.3,,,
0.9,298,63.7,0.003,25.3,,,
0.96,316,69,0.0035,25.3,,,
1.02,333,74.7,0.0035,25.3,,,
1.08,351,81.4,0.0035,25.3,,,
1.14,369,88.7,0.0035,25.3,,,
1.2,386,97.5,0.0035,25.3,,,
1.26,401,108.9,0.004,25.3,257.8,2.41,
1.32,417,125.6,0.004,25.3,309.23,2.49,
1.38,427,150.1,0.006,25.3,335.76,2.53,
1.44,434,172.5,0.008,25.3,316.84,2.5,
1.5,440,186.3,0.01,25.3,251.71,2.4,
1.53,536,191.4,0.0005,25.3,197.9,2.3,
1.56,542,195.8,0.005,25.3,139.33,2.14,
1.59,548,199.5,0.005,25.3,109.56,2.04,
1.62,554,202.8,0.0055,25.3,100.71,2,
1.65,559,205.7,0.0055,25.3,91.41,1.96,
1.68,565,208.3,0.0055,25.3,82.86,1.92,
1.71,570,210.7,0.006,25.3,75.97,1.88,
1.74,576,212.9,0.0055,25.3,69.64,1.84,
1.77,581,214.9,0.006,25.3,64.55,1.81,
1.8,586,216.8,0.006,25.3,59.9,1.78,
1.83,591,218.5,0.006,25.3,56.08,1.75,
1.86,597,220.1,0.0055,25.3,52.42,1.72,
1.89,602,221.7,0.0065,25.3,49.26,1.69,
1.92,607,223.1,0.006,25.3,46.61,1.67,
1.95,612,224.5,0.006,25.3,44.29,1.65,
1.98,617,225.7,0.006,25.3,42.13,1.62,
2.01,622,227,0.006,25.3,40.14,1.6,
2.04,627,228.2,0.006,25.3,38.46,1.59,
2.07,632,229.3,0.006,25.3,36.62,1.56,
2.1,637,230.4,0.0055,25.3,35.33,1.55,
2.13,642,231.4,0.0055,25.3,,,
2.16,648,232.4,0.005,25.3,,,
2.19,653,233.4,0.006,25.3,,,
2.22,658,234.4,0.006,25.3,,,
2.25,663,235.3,0.006,25.3,,,
Scope 1/1, Sample 1/18 (Intake1_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-62.3,NaN,25.1,,,
0.06,15,-63.8,0.004,25.2,,,
0.12,35,-52,0.003,25.2,,,
0.18,55,-35,0.003,25.2,,,
0.24,75,-14.9,0.003,25.2,,,
0.3,96,-0.7,0.003,25.2,,,
0.36,116,9.1,0.003,25.2,,,
0.42,136,17.2,0.003,25.2,,,
0.48,156,24.2,0.003,25.2,,,
0.54,176,30.6,0.003,25.2,,,
0.6,196,36.6,0.003,25.2,,,
0.66,216,42.3,0.003,25.2,,,
0.72,236,47.7,0.003,25.2,,,
0.78,257,52.9,0.003,25.2,,,
0.84,277,58.2,0.003,25.2,,,
0.9,296,63.3,0.003,25.3,,,
0.96,314,68.6,0.0035,25.3,,,
1.02,330,74.2,0.0035,25.3,,,
1.08,347,80.6,0.0035,25.3,,,
1.14,363,87.7,0.004,25.3,,,
1.2,381,96.6,0.0035,25.3,,,
1.26,398,107.6,0.0035,25.3,248.9,2.4,
1.32,412,123.1,0.004,25.3,302.5,2.48,
1.38,423,146.8,0.0055,25.3,333.54,2.52,
1.44,430,170.2,0.0085,25.3,321.2,2.51,
1.5,436,184.8,0.01,25.3,262.04,2.42,
1.53,533,190.3,0.0005,25.3,210.75,2.32,
1.56,539,194.8,0.0055,25.3,149.58,2.17,
1.59,545,198.7,0.0055,25.3,114.05,2.06,
1.62,550,202,0.006,25.3,103.44,2.01,
1.65,557,205.1,0.0045,25.3,93.37,1.97,
1.68,562,207.7,0.006,25.3,84.46,1.93,
1.71,567,210.1,0.006,25.3,76.93,1.89,
1.74,572,212.4,0.006,25.3,71.02,1.85,
1.77,578,214.4,0.005,25.3,65.65,1.82,
1.8,583,216.3,0.006,25.3,61.42,1.79,
1.83,588,218.1,0.0055,25.3,57.27,1.76,
1.86,593,219.8,0.0055,25.3,53.75,1.73,
1.89,598,221.3,0.0055,25.3,50.42,1.7,
1.92,604,222.8,0.0055,25.3,47.47,1.68,
1.95,609,224.2,0.0065,25.3,44.95,1.65,
1.98,614,225.5,0.006,25.3,42.75,1.63,
2.01,619,226.7,0.006,25.3,41,1.61,
2.04,624,228,0.006,25.3,39.14,1.59,
2.07,629,229.1,0.006,25.3,37.8,1.58,
2.1,634,230.2,0.006,25.3,36.34,1.56,
2.13,640,231.3,0.0055,25.3,,,
2.16,645,232.3,0.0065,25.3,,,
2.19,650,233.3,0.006,25.3,,,
2.22,655,234.2,0.006,25.3,,,
2.25,660,235.1,0.006,25.3,,,
Scope 1/1, Sample 1/18 (Intake2_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-62.7,NaN,25.1,,,
0.06,17,-63.9,0.0035,25.2,,,
0.12,37,-52.2,0.003,25.2,,,
0.18,57,-35.9,0.003,25.2,,,
0.24,77,-15.3,0.003,25.2,,,
0.3,97,-0.8,0.003,25.2,,,
0.36,117,9,0.003,25.2,,,
0.42,137,17.3,0.003,25.2,,,
0.48,158,24.2,0.003,25.2,,,
0.54,178,30.6,0.003,25.2,,,
0.6,198,36.5,0.003,25.2,,,
0.66,218,42.2,0.003,25.2,,,
0.72,238,47.6,0.003,25.2,,,
0.78,258,52.9,0.003,25.2,,,
0.84,278,58.1,0.003,25.2,,,
0.9,296,63.1,0.0035,25.2,,,
0.96,316,68.9,0.003,25.2,,,
1.02,336,74.7,0.003,25.3,,,
1.08,353,80.7,0.0035,25.3,,,
1.14,372,88.1,0.003,25.3,,,
1.2,387,96.3,0.004,25.3,,,
1.26,403,107.7,0.004,25.3,250.05,2.4,
1.32,417,123.4,0.0045,25.3,304.63,2.48,
1.38,428,147.3,0.0055,25.3,335.03,2.53,
1.44,435,170.6,0.0085,25.3,322.03,2.51,
1.5,441,185.1,0.0095,25.3,260.24,2.42,
1.53,537,190.5,0.0005,25.3,208.83,2.32,
1.56,543,195,0.005,25.3,147.87,2.17,
1.59,548,198.8,0.0055,25.3,113.27,2.05,
1.62,554,202.2,0.0055,25.3,103.07,2.01,
1.65,559,205.2,0.006,25.3,93.03,1.97,
1.68,564,207.9,0.006,25.3,84.14,1.92,
1.71,569,210.2,0.006,25.3,77.31,1.89,
1.74,574,212.5,0.0055,25.3,70.98,1.85,
1.77,579,214.5,0.0055,25.3,65.67,1.82,
1.8,584,216.5,0.0055,25.3,61.29,1.79,
1.83,590,218.3,0.0055,25.3,56.89,1.76,
1.86,595,219.8,0.0065,25.3,52.7,1.72,
1.89,600,221.4,0.0065,25.3,50,1.7,
1.92,605,222.9,0.006,25.3,47.22,1.67,
1.95,610,224.2,0.006,25.3,45.28,1.66,
1.98,615,225.6,0.006,25.3,43.39,1.64,
2.01,620,226.9,0.006,25.3,40.94,1.61,
2.04,625,228,0.006,25.3,38.95,1.59,
2.07,630,229.2,0.0055,25.3,37.19,1.57,
2.1,635,230.3,0.0055,25.3,35.08,1.55,
2.13,640,231.3,0.0055,25.3,,,
2.16,646,232.3,0.0055,25.3,,,
2.19,651,233.3,0.0065,25.3,,,
2.22,656,234.2,0.006,25.3,,,
2.25,661,235.2,0.006,25.3,,,
Scope 1/1, Sample 1/18 (Tank1_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-59.5,NaN,25.1,,,
0.06,18,-61.2,0.0035,25.2,,,
0.12,38,-49,0.003,25.2,,,
0.18,58,-31,0.003,25.2,,,
0.24,78,-11.7,0.003,25.2,,,
0.3,98,1.5,0.003,25.2,,,
0.36,118,10.8,0.003,25.2,,,
0.42,138,18.6,0.003,25.2,,,
0.48,158,25.4,0.003,25.2,,,
0.54,178,31.7,0.003,25.2,,,
0.6,199,37.5,0.003,25.2,,,
0.66,219,43,0.003,25.2,,,
0.72,239,48.3,0.003,25.2,,,
0.78,259,53.4,0.003,25.2,,,
0.84,279,58.6,0.003,25.2,,,
0.9,297,63.6,0.0035,25.2,,,
0.96,316,69,0.003,25.2,,,
1.02,336,74.9,0.003,25.2,,,
1.08,352,80.7,0.0035,25.2,,,
1.14,368,87.8,0.004,25.3,,,
1.2,385,96.5,0.0035,25.3,,,
1.26,401,107.4,0.0035,25.3,245.15,2.39,
1.32,416,122.7,0.004,25.3,300.03,2.48,
1.38,427,146,0.0055,25.3,331.43,2.52,
1.44,434,169.4,0.009,25.3,321.1,2.51,
1.5,440,184.3,0.0095,25.3,263.63,2.42,
1.53,536,189.8,0.0005,25.3,213.53,2.33,
1.56,542,194.4,0.005,25.3,152.86,2.18,
1.59,547,198.4,0.0055,25.3,116.18,2.07,
1.62,552,201.7,0.0055,25.3,104.7,2.02,
1.65,558,204.8,0.005,25.3,94.37,1.97,
1.68,563,207.5,0.0055,25.3,85.31,1.93,
1.71,568,209.9,0.0055,25.3,77.55,1.89,
1.74,574,212.2,0.0055,25.3,71.68,1.86,
1.77,579,214.2,0.0065,25.3,66.17,1.82,
1.8,584,216.2,0.006,25.3,62.08,1.79,
1.83,589,217.9,0.006,25.3,57.75,1.76,
1.86,594,219.7,0.006,25.3,53.94,1.73,
1.89,599,221.2,0.006,25.3,50.42,1.7,
1.92,604,222.7,0.006,25.3,47.42,1.68,
1.95,609,224,0.0055,25.3,45.14,1.65,
1.98,615,225.4,0.0055,25.3,42.75,1.63,
2.01,620,226.6,0.0065,25.3,41.32,1.62,
2.04,625,227.9,0.006,25.3,39.68,1.6,
2.07,630,229,0.006,25.3,37.8,1.58,
2.1,635,230.1,0.006,25.3,35.81,1.55,
2.13,640,231.2,0.006,25.3,,,
2.16,645,232.2,0.006,25.3,,,
2.19,650,233.1,0.006,25.3,,,
2.22,655,234.1,0.0055,25.3,,,
2.25,660,235,0.0055,25.3,,,
Scope 1/1, Sample 1/18 (Tank2_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-57.6,NaN,25.1,,,
0.06,17,-60.8,0.0035,25.2,,,
0.12,38,-48.2,0.003,25.2,,,
0.18,58,-30.3,0.003,25.2,,,
0.24,78,-10.8,0.003,25.2,,,
0.3,98,2.2,0.003,25.2,,,
0.36,118,11.3,0.003,25.2,,,
0.42,138,19.1,0.003,25.2,,,
0.48,158,25.9,0.003,25.2,,,
0.54,178,32.2,0.003,25.2,,,
0.6,199,38.3,0.003,25.2,,,
0.66,219,43.6,0.003,25.2,,,
0.72,239,48.9,0.003,25.2,,,
0.78,259,54.1,0.003,25.2,,,
0.84,279,59.4,0.003,25.3,,,
0.9,298,64.6,0.003,25.3,,,
0.96,317,70,0.003,25.3,,,
1.02,336,75.8,0.003,25.3,,,
1.08,354,82.3,0.0035,25.3,,,
1.14,372,89.5,0.003,25.3,,,
1.2,390,98.3,0.0035,25.3,,,
1.26,405,109.9,0.004,25.3,258.46,2.41,
1.32,420,126.8,0.004,25.3,309.26,2.49,
1.38,430,151.2,0.006,25.3,333.9,2.52,
1.44,438,173.1,0.008,25.3,313.28,2.5,
1.5,444,186.7,0.0105,25.3,247.67,2.39,
1.53,541,191.8,0.0005,25.3,194.34,2.29,
1.56,546,196.1,0.006,25.3,137.37,2.14,
1.59,551,199.8,0.006,25.3,108.82,2.04,
1.62,557,203.1,0.0055,25.3,99.5,2,
1.65,562,205.9,0.0065,25.3,89.89,1.95,
1.68,567,208.5,0.006,25.3,81.53,1.91,
1.71,572,210.8,0.006,25.3,74.77,1.87,
1.74,577,213,0.006,25.3,69.17,1.84,
1.77,582,215,0.006,25.3,64.22,1.81,
1.8,587,216.9,0.0055,25.3,59.75,1.78,
1.83,592,218.6,0.0055,25.3,55.56,1.74,
1.86,597,220.2,0.0055,25.3,52.08,1.72,
1.89,602,221.7,0.0055,25.3,49.09,1.69,
1.92,608,223.2,0.0055,25.3,47.13,1.67,
1.95,613,224.5,0.0065,25.3,45.15,1.65,
1.98,618,225.9,0.006,25.3,42.99,1.63,
2.01,623,227.1,0.006,25.3,40.47,1.61,
2.04,628,228.4,0.006,25.3,38.48,1.59,
2.07,633,229.4,0.006,25.3,36.62,1.56,
2.1,638,230.5,0.006,25.3,34.95,1.54,
2.13,643,231.5,0.0055,25.3,,,
2.16,648,232.6,0.0055,25.3,,,
2.19,654,233.5,0.0055,25.3,,,
2.22,659,234.5,0.0065,25.3,,,
2.25,664,235.4,0.0065,25.3,,,
Scope 1/1, Sample 1/18 (Tank3_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-60.6,NaN,25.2,,,
0.06,17,-63.1,0.0035,25.2,,,
0.12,38,-51.2,0.003,25.2,,,
0.18,58,-34.1,0.003,25.2,,,
0.24,78,-14,0.003,25.2,,,
0.3,98,0.1,0.003,25.2,,,
0.36,118,9.7,0.003,25.2,,,
0.42,138,17.7,0.003,25.2,,,
0.48,158,24.7,0.003,25.2,,,
0.54,178,31.1,0.003,25.3,,,
0.6,199,37,0.003,25.3,,,
0.66,219,42.6,0.003,25.3,,,
0.72,239,48,0.003,25.3,,,
0.78,259,53.3,0.003,25.3,,,
0.84,279,58.5,0.003,25.3,,,
0.9,299,63.6,0.003,25.3,,,
0.96,318,69,0.003,25.3,,,
1.02,336,74.7,0.003,25.3,,,
1.08,354,81,0.003,25.3,,,
1.14,372,88.1,0.0035,25.3,,,
1.2,388,96.6,0.0035,25.3,,,
1.26,404,107.8,0.0035,25.3,249.95,2.4,
1.32,419,123.6,0.004,25.3,303.91,2.48,
1.38,430,147.5,0.0055,25.3,334.52,2.52,
1.44,437,170.6,0.008,25.3,321.04,2.51,
1.5,443,185.1,0.0095,25.3,260.12,2.42,
1.53,539,190.5,0.0005,25.3,208.57,2.32,
1.56,545,195.1,0.0055,25.3,148.2,2.17,
1.59,550,198.9,0.006,25.3,114.15,2.06,
1.62,555,202.3,0.006,25.3,103.53,2.02,
1.65,560,205.3,0.006,25.4,93.16,1.97,
1.68,566,207.9,0.005,25.4,84.33,1.93,
1.71,571,210.4,0.006,25.4,77.12,1.89,
1.74,576,212.6,0.006,25.4,70.96,1.85,
1.77,581,214.6,0.006,25.4,65.9,1.82,
1.8,586,216.6,0.0055,25.4,60.88,1.78,
1.83,591,218.3,0.0055,25.4,56.54,1.75,
1.86,596,220,0.0055,25.4,53.1,1.73,
1.89,602,221.5,0.0055,25.4,50.07,1.7,
1.92,607,222.9,0.0065,25.4,47.62,1.68,
1.95,612,224.4,0.0065,25.4,45.66,1.66,
1.98,617,225.7,0.006,25.4,43.46,1.64,
2.01,622,227,0.006,25.4,41.34,1.62,
2.04,627,228.2,0.006,25.4,38.8,1.59,
2.07,632,229.3,0.006,25.4,36.61,1.56,
2.1,637,230.4,0.006,25.4,35.14,1.55,
2.13,642,231.4,0.006,25.4,,,
2.16,647,232.4,0.0055,25.4,,,
2.19,652,233.4,0.0055,25.4,,,
2.22,658,234.3,0.0055,25.4,,,
2.25,663,235.2,0.0065,25.4,,,
Scope 1/1, Sample 1/18 (Tank4_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-45.6,NaN,25.2,,,
0.06,17,-52.8,0.0035,25.2,,,
0.12,38,-38.1,0.003,25.2,,,
0.18,58,-18.7,0.003,25.2,,,
0.24,78,-3.5,0.003,25.2,,,
0.3,98,6.7,0.003,25.2,,,
0.36,118,15,0.003,25.2,,,
0.42,138,22.1,0.003,25.3,,,
0.48,158,28.3,0.003,25.3,,,
0.54,178,34.2,0.003,25.3,,,
0.6,198,39.7,0.003,25.3,,,
0.66,219,44.9,0.003,25.3,,,
0.72,239,49.9,0.003,25.3,,,
0.78,259,54.7,0.003,25.3,,,
