TREATMENT,DATE,TANK_NUM,pH_day,pH_night
Control,20240607,15,8.027961453145563,8.037464846174093
Control,20240608,3,8.013675770171645,8.02338113006144
Control,20240608,8,8.015689408039163,8.021828032260364
Control,20240608,11,8.011511692943253,8.030316839300049
Control,20240608,15,8.01528006261197,8.01920780637338
Control,20240609,3,8.00629106843915,7.997303982084743
Control,20240609,8,7.997133624924194,7.995306149558356
Control,20240609,11,8.013481382228273,7.9989121604491675
Control,20240609,15,7.994084605793884,7.995584019504458
Control,20240610,3,8.017205289402268,7.9859618952457465
Control,20240610,8,8.021534836509682,8.00001890356395
Control,20240610,11,8.024105630551379,7.996685048249178
Control,20240610,15,7.998542721315497,7.993812851968652
Control,20240611,3,8.003525482581606,8.022571292339086
Control,20240611,8,8.016341876667317,8.039079705024031
Control,20240611,11,8.047556548867234,8.030062394682819
Control,20240611,15,8.034043875641386,8.039098540267085
Control,20240613,3,8.021275924888629,8.052683809165194
Control,20240613,8,8.035698569011958,8.063726733140193
Control,20240613,11,8.04585392114477,8.064285794264348
Control,20240613,15,8.034958221879078,8.064604574099297
Control,20240614,3,8.049052994435986,8.031044068490807
Control,20240614,8,8.06480468572023,8.066385079263258
Control,20240614,11,8.061633458710967,8.06900491472865
Control,20240614,15,8.048788182220774,8.057918472479624
Control,20240615,3,8.059000214862728,8.063067821723253
Control,20240615,8,8.06830037921056,8.061371573070238
Control,20240615,11,8.06294181133693,8.064988733266771
Control,20240615,15,8.06211824383426,8.060465975539678
Control,20240616,3,8.067375129474572,8.045530533069888
Control,20240616,8,8.072860582276512,8.073817016681822
Control,20240616,11,8.055823864326824,8.078104219253952
Control,20240616,15,8.071185005066491,8.070395209166488
Control,20240618,3,8.062747339584051,7.997304553114209
Control,20240618,8,8.07282730156684,8.00360748765898
Control,20240618,11,8.063994763376789,8.003472647578317
Control,20240618,15,8.059067584680404,8.012086198821764
Control,20240619,3,8.04304453592805,8.045032813206074
Control,20240619,8,8.086116004465907,8.06855978334571
Control,20240619,11,8.093200662425728,8.07603453583779
Control,20240619,15,8.056482204529951,8.091754854837772
Control,20240620,3,8.05878726643392,8.04814218245379
Control,20240620,8,8.100535966146726,8.06092128169775
Control,20240620,11,8.096663844535314,8.061745480661365
Control,20240620,15,8.072760138404712,8.078065657285293
Control,20240626,3,8.06588885382174,8.043305155929096
Control,20240626,8,8.10301937519909,8.054589743559466
Control,20240626,11,8.105811728043252,8.05365679250428
Control,20240626,15,8.082017736491009,8.059443466756976
Coral_Dom,20240602,6,8.080788857750262,7.877701589514259
Coral_Dom,20240602,7,8.038593116048348,7.992136847429677
Coral_Dom,20240602,9,8.048228157710797,8.038109775843704
Coral_Dom,20240602,16,8.050832465747686,8.043079875194554
Coral_Dom,20240605,6,8.059674027458964,7.976163424889208
Coral_Dom,20240605,7,8.031202709111401,7.990515161332041
Coral_Dom,20240605,9,8.007355503146545,8.007493397854393
Coral_Dom,20240605,16,8.014381885374814,7.799514557992445
Coral_Dom,20240606,6,8.027898386609813,8.048503834321343
Coral_Dom,20240606,7,7.995749343363135,8.06315284168477
Coral_Dom,20240606,9,8.008417789664293,8.060322809002153
Coral_Dom,20240606,16,8.007488807324682,8.04861151532052
Coral_Dom,20240607,6,8.163057677329103,7.974867673241778
Coral_Dom,20240607,7,8.069242156405878,7.996299871415423
Coral_Dom,20240607,9,8.062697063126617,8.006375715801537
Coral_Dom,20240607,16,8.035008292067394,8.021752895561207
Coral_Dom,20240608,6,7.979938165292398,7.960983514492905
Coral_Dom,20240608,7,7.9916486082261216,7.994895093114248
Coral_Dom,20240608,9,7.996455574576182,8.002347889057065
Coral_Dom,20240608,16,7.995919521613042,8.007606579763046
Coral_Dom,20240609,6,8.144566703599303,7.895222989056219
Coral_Dom,20240609,7,8.023149815026612,7.96885528484025
Coral_Dom,20240609,9,8.016031439819141,7.976323385994657
Coral_Dom,20240609,16,7.992487709643406,7.990506207600556
Coral_Dom,20240610,6,8.141990927296444,7.940004158036619
Coral_Dom,20240610,7,8.080265727432907,7.9629330877303595
Coral_Dom,20240610,9,8.072279978865533,7.973179868172407
Coral_Dom,20240610,16,8.0217768929419,7.980022275453556
Coral_Dom,20240611,6,8.221314996877728,7.974929733700429
Coral_Dom,20240611,7,8.112421793505089,7.975741600889149
Coral_Dom,20240611,9,8.129641644909837,7.967942242994583
Coral_Dom,20240611,16,8.036951555764219,8.027990920150932
Coral_Dom,20240613,6,8.03061233463123,8.048520479582146
Coral_Dom,20240613,7,8.005830784605267,8.002071239027602
Coral_Dom,20240613,9,8.030364974977898,7.9882549801834255
Coral_Dom,20240613,16,8.037934013272459,8.0581516835613
Coral_Dom,20240614,6,8.088339501033326,8.046366703584901
Coral_Dom,20240614,7,8.14526794330867,7.992369424179669
Coral_Dom,20240614,9,8.178957264013551,7.972048166765607
Coral_Dom,20240614,16,8.104089613774752,8.024533042292
Coral_Dom,20240615,6,8.085179169114665,8.045102073793228
Coral_Dom,20240615,7,8.169742773874978,7.992870556040186
Coral_Dom,20240615,9,8.22831490771399,7.9510647217960075
Coral_Dom,20240615,16,8.19718116806824,7.952303099899652
Coral_Dom,20240616,6,8.066633471443149,8.052234166444626
Coral_Dom,20240616,7,8.195897085316705,7.950250259075065
Coral_Dom,20240616,9,8.183920875241206,7.955634878133813
Coral_Dom,20240616,16,8.063486644660319,8.055900295352842
Coral_Dom,20240618,6,8.107184269011388,7.956145549242193
Coral_Dom,20240618,7,8.178903261517323,7.901295103317829
Coral_Dom,20240618,9,8.10571046130209,7.982963165921989
Coral_Dom,20240618,16,8.095596446306502,7.9713138560049766
Coral_Dom,20240619,6,8.12072553582194,7.9861753953389005
Coral_Dom,20240619,7,8.190860841936665,7.927960770817541
Coral_Dom,20240619,9,8.088923116582462,8.028702627081344
Coral_Dom,20240619,16,8.135561927267133,8.015541556766738
Coral_Dom,20240620,6,8.172988352712643,7.981901833451947
Coral_Dom,20240620,7,8.164030371720484,7.955062707331345
Coral_Dom,20240620,9,8.14479960493453,7.988627077802374
Coral_Dom,20240620,16,8.205620974033588,7.975634868710568
Coral_Dom,20240626,6,8.209380314902116,7.961386914457895
Coral_Dom,20240626,7,8.281357921806233,7.95491441456687
Coral_Dom,20240626,9,8.391187372366902,8.076259448675883
Coral_Dom,20240626,16,8.081363458828744,8.01370021313189
Rubble_Dom,20240602,2,8.131556175314378,7.949307331381025
Rubble_Dom,20240602,5,8.082336220101567,8.016969264110791
Rubble_Dom,20240602,10,8.174508870792394,8.039439718167399
Rubble_Dom,20240602,12,8.134698893839802,8.0542819541783075
Rubble_Dom,20240605,2,8.0578173607848,7.924001327320819
Rubble_Dom,20240605,5,8.052178101347755,7.927363288622911
Rubble_Dom,20240605,10,8.011764255436038,8.000560812175516
Rubble_Dom,20240605,12,8.010698138251335,7.999213855938127
Rubble_Dom,20240606,2,8.023901554491895,8.015577469033195
Rubble_Dom,20240606,5,8.019407347679293,8.039949342768812
Rubble_Dom,20240606,10,8.010198067710943,8.053684485187626
Rubble_Dom,20240606,12,8.016558422402973,8.016335161699324
Rubble_Dom,20240607,2,8.045260740051006,8.028271763466055
Rubble_Dom,20240607,5,8.134170657815398,7.9654158021003125
Rubble_Dom,20240607,10,8.110517115042876,7.98886103057691
Rubble_Dom,20240607,12,8.109535010842455,7.992721291380525
Rubble_Dom,20240608,2,7.984692291462979,8.040419373062319
Rubble_Dom,20240608,5,7.987816094913475,7.994734162440415
Rubble_Dom,20240608,10,8.011643012235462,7.981072826211917
Rubble_Dom,20240608,12,7.98996958830582,7.984790043643716
Rubble_Dom,20240609,2,8.000729204186854,7.940801117247807
Rubble_Dom,20240609,5,8.023233108340284,7.977730864429308
Rubble_Dom,20240609,10,8.071631048162619,7.931734692837979
Rubble_Dom,20240609,12,8.051112630687243,7.935614426143113
Rubble_Dom,20240610,2,8.079013712318345,7.90927300211625
Rubble_Dom,20240610,5,8.114011052004036,7.941882436507283
Rubble_Dom,20240610,10,8.10787015854404,7.9591684628281785
Rubble_Dom,20240610,12,8.099365429542575,7.944094692638461
Rubble_Dom,20240611,2,8.104167896520892,7.938230490881344
Rubble_Dom,20240611,5,7.780460428775325,7.998783060157344
Rubble_Dom,20240611,10,8.1197938807746,7.975246847823842
Rubble_Dom,20240611,12,8.154050177431316,7.960980330303225
Rubble_Dom,20240613,2,8.020869197460856,7.9596032522666675
Rubble_Dom,20240613,5,8.038874111609996,7.995312261126241
Rubble_Dom,20240613,10,8.046100986563912,8.051937762862698
Rubble_Dom,20240613,12,8.059752582496278,8.021996923866253
Rubble_Dom,20240614,2,8.195494625752158,7.964244978740373
Rubble_Dom,20240614,5,8.19050741801886,7.960112223502194
Rubble_Dom,20240614,10,8.10051485984684,8.04329209002165
Rubble_Dom,20240614,12,8.178866539424376,7.983451458708281
Rubble_Dom,20240615,2,8.229150216220933,8.017250411833873
Rubble_Dom,20240615,5,8.240515522015079,7.941027803947754
Rubble_Dom,20240615,10,8.15335695156182,8.023974825177378
Rubble_Dom,20240615,12,8.223911386161427,7.973892974311785
Rubble_Dom,20240616,2,8.210907634020518,8.011235330736659
Rubble_Dom,20240616,5,8.131514154372335,7.9504759835204135
Rubble_Dom,20240616,10,8.028517088079424,8.053560831067582
Rubble_Dom,20240616,12,8.222522124342374,7.974587769692619
Rubble_Dom,20240618,2,8.063844503892618,7.9762767312481735
Rubble_Dom,20240618,5,8.079032442462589,7.982416756869405
Rubble_Dom,20240618,10,8.141352619434741,7.900213013133932
Rubble_Dom,20240618,12,8.176604097922631,7.932421412531479
Rubble_Dom,20240619,2,8.050715704073884,8.034408202877144
Rubble_Dom,20240619,5,8.081037383019424,8.04594841318264
Rubble_Dom,20240619,10,8.240374644505946,7.951274917153145
Rubble_Dom,20240619,12,8.293049612284145,7.974753130271745
Rubble_Dom,20240620,2,8.083466862922718,8.034162389329655
Rubble_Dom,20240620,5,8.107393961726496,8.038153486573892
Rubble_Dom,20240620,10,8.21328929444498,7.976450066899521
Rubble_Dom,20240620,12,8.261349284540653,7.987567909203528
Rubble_Dom,20240626,2,8.249472085042173,7.996971435801588
Rubble_Dom,20240626,5,8.121935604397516,8.041720221659995
Rubble_Dom,20240626,10,8.317070064766792,8.033234823303305
Rubble_Dom,20240626,12,8.23022802613535,7.966894633364494
