"","Date","Rep","Treatment","TankID","Salinity","pH","TempInSitu","DO","DO_mg_L","Time","DateTime"
"23",20240528,1,"2019","Bleach 1",36.2,8.0948863804546,28.231,82.6,5.23,"9:00",2024-05-28 09:00:00
"24",20240528,2,"2019","Bleach 2",36.4,8.0890849040464,28.192,82.2,5.22,"9:00",2024-05-28 09:00:00
"25",20240528,3,"2019","Bleach 3",36.4,8.10452876371409,28.295,81.8,5.16,"9:00",2024-05-28 09:00:00
"26",20240528,4,"2019","Bleach 4",36.5,8.11258018420001,28.336,81,5.11,"9:00",2024-05-28 09:00:00
"27",20240528,1,"Control","Control 1",36.4,8.08424056164663,28.178,75.6,4.8,"9:00",2024-05-28 09:00:00
"28",20240528,2,"Control","Control 2",36.4,8.08378302789579,28.215,75,4.76,"9:00",2024-05-28 09:00:00
"29",20240528,1,"2006","Pre 1",36.4,8.07932031613896,28.576,89,5.61,"12:00",2024-05-28 12:00:00
"30",20240528,2,"2006","Pre 2",36.3,8.07441659732061,28.551,78.5,4.93,"12:00",2024-05-28 12:00:00
"31",20240528,3,"2006","Pre 3",36.3,8.08525614796509,28.62,82.6,5.21,"12:00",2024-05-28 12:00:00
"32",20240528,4,"2006","Pre 4",36.3,8.06978706362434,28.52,82.2,5.19,"12:00",2024-05-28 12:00:00
"33",20240528,1,"2011","COTS 1",36.3,8.06352256955367,28.486,80.9,5.1,"12:00",2024-05-28 12:00:00
"34",20240528,2,"2011","COTS 2",36.3,8.08526852343388,28.619,87,5.08,"12:00",2024-05-28 12:00:00
"35",20240528,3,"2011","COTS 3",36.3,8.06918331072898,28.569,77.1,4.85,"12:00",2024-05-28 12:00:00
"36",20240528,4,"2011","COTS 4",36.4,8.09001165704686,28.926,88.4,5.55,"12:00",2024-05-28 12:00:00
"37",20240528,1,"2019","Bleach 1",36.9,8.05835331063556,28.462,86,5.42,"12:00",2024-05-28 12:00:00
"38",20240528,2,"2019","Bleach 2",36.3,8.08441389116795,28.418,76.2,4.82,"12:00",2024-05-28 12:00:00
"39",20240528,3,"2019","Bleach 3",36.3,8.08811492395884,28.524,82.3,5.18,"12:00",2024-05-28 12:00:00
"40",20240528,4,"2019","Bleach 4",36.3,8.10779100674287,28.688,81.3,5.11,"12:00",2024-05-28 12:00:00
"41",20240528,1,"Control","Control 1",36.4,8.05157417545414,28.523,80.8,5.1,"12:00",2024-05-28 12:00:00
"42",20240528,2,"Control","Control 2",36.4,8.0654072391157,28.485,84,5.31,"12:00",2024-05-28 12:00:00
"43",20240528,1,"2006","Pre 1",36.4,8.03229378261091,28.597,83.2,5.25,"17:00",2024-05-28 17:00:00
"44",20240528,2,"2006","Pre 2",36.3,8.03076396661643,28.569,80,5.04,"17:00",2024-05-28 17:00:00
"45",20240528,3,"2006","Pre 3",36.4,8.0695217791437,28.964,74,4.64,"17:00",2024-05-28 17:00:00
"46",20240528,4,"2006","Pre 4",36,8.05234546804022,28.531,84,5.33,"17:00",2024-05-28 17:00:00
"47",20240528,1,"2011","COTS 1",36.4,8.06881058357809,28.48,74.6,4.72,"17:00",2024-05-28 17:00:00
"48",20240528,2,"2011","COTS 2",36.4,8.02506461463795,28.642,76.8,4.85,"17:00",2024-05-28 17:00:00
"49",20240528,3,"2011","COTS 3",36.4,8.05453526191105,28.69,75,4.72,"17:00",2024-05-28 17:00:00
"50",20240528,4,"2011","COTS 4",36.4,8.04074195893235,28.862,82.2,5.15,"17:00",2024-05-28 17:00:00
"51",20240528,1,"2019","Bleach 1",36.4,8.04962153670659,28.546,74.4,4.7,"17:00",2024-05-28 17:00:00
"52",20240528,2,"2019","Bleach 2",36.4,8.04885307001724,28.336,70.5,4.55,"17:00",2024-05-28 17:00:00
"53",20240528,3,"2019","Bleach 3",36.3,8.05642199014319,28.656,70.4,4.44,"17:00",2024-05-28 17:00:00
"54",20240528,4,"2019","Bleach 4",36.2,8.00718824669596,28.706,72.9,4.6,"17:00",2024-05-28 17:00:00
"55",20240528,1,"Control","Control 1",36.4,8.04263346560055,28.571,86.2,5.44,"17:00",2024-05-28 17:00:00
"56",20240529,1,"2006","Pre 1",36.4,8.0653703073788,28.488,89.5,5.68,"10:30",2024-05-29 10:30:00
"57",20240529,2,"2006","Pre 2",36.4,8.1016980761083,28.657,80.2,5,"10:30",2024-05-29 10:30:00
"58",20240529,3,"2006","Pre 3",36.4,8.09895403182424,29.146,79.8,5.41,"10:30",2024-05-29 10:30:00
"59",20240529,4,"2006","Pre 4",36.4,8.06879849853943,28.752,77.8,4.89,"10:30",2024-05-29 10:30:00
"60",20240529,1,"2011","COTS 1",36.4,8.09145746767194,29.749,73,4.52,"10:30",2024-05-29 10:30:00
"61",20240529,2,"2011","COTS 2",36.4,8.09266579665552,28.981,71.3,4.46,"10:30",2024-05-29 10:30:00
"62",20240529,3,"2011","COTS 3",36.4,8.05497732985196,28.654,78.1,4.88,"10:30",2024-05-29 10:30:00
"63",20240529,4,"2011","COTS 4",36.4,8.05495202830576,28.792,87.2,5.47,"10:30",2024-05-29 10:30:00
"64",20240529,1,"2019","Bleach 1",36.3,8.10018547251122,29.031,82.5,5.17,"10:30",2024-05-29 10:30:00
"65",20240529,2,"2019","Bleach 2",36.4,8.08964179856188,28.417,78.1,4.94,"10:30",2024-05-29 10:30:00
"66",20240529,3,"2019","Bleach 3",36.4,8.137204618518,28.888,82.8,5.2,"10:30",2024-05-29 10:30:00
"67",20240529,4,"2019","Bleach 4",36.4,8.08717803048533,28.481,77.6,4.9,"10:30",2024-05-29 10:30:00
"68",20240529,2,"Control","Control 2",36.4,8.03237700323873,28.727,82.4,5.24,"10:30",2024-05-29 10:30:00
"69",20240529,3,"Control","Control 3",36.4,8.04514300551262,29.591,99.3,6.24,"10:30",2024-05-29 10:30:00
"70",20240529,1,"2006","Pre 1",36.5,8.21904433456254,29.417,107.2,6.62,"14:45",2024-05-29 14:45:00
"71",20240529,2,"2006","Pre 2",36.5,8.21129243600178,29.242,101.4,6.31,"14:45",2024-05-29 14:45:00
"72",20240529,3,"2006","Pre 3",36.5,8.12774124572407,29.525,101.5,6.35,"14:45",2024-05-29 14:45:00
"73",20240529,4,"2006","Pre 4",36.5,8.17312003153973,29.885,102.3,6.43,"14:45",2024-05-29 14:45:00
"74",20240529,1,"2011","COTS 1",36.5,8.05706973648008,29.855,98.1,6.17,"14:45",2024-05-29 14:45:00
"75",20240529,2,"2011","COTS 2",36.4,8.03634071834085,28.949,88.1,5.7,"14:45",2024-05-29 14:45:00
"76",20240529,3,"2011","COTS 3",36.4,8.05507329243876,29.731,102.4,6.36,"14:45",2024-05-29 14:45:00
"77",20240529,4,"2011","COTS 4",36.5,8.11602288503838,29.53,98.6,6.17,"14:45",2024-05-29 14:45:00
"78",20240529,1,"2019","Bleach 1",36.4,8.26220997064163,29.541,104.5,6.52,"14:45",2024-05-29 14:45:00
"79",20240529,2,"2019","Bleach 2",36.4,8.04520649627089,28.77,93.1,6.02,"14:45",2024-05-29 14:45:00
"80",20240529,3,"2019","Bleach 3",36.4,8.21148783479772,29.731,110.4,6.84,"14:45",2024-05-29 14:45:00
"81",20240529,4,"2019","Bleach 4",36.5,8.1842811488556,29.007,95.5,6.01,"14:45",2024-05-29 14:45:00
"82",20240529,1,"Control","Control 1",36.5,8.03876608195396,29.176,90,5.66,"14:45",2024-05-29 14:45:00
"83",20240529,2,"Control","Control 2",36.6,8.01264249053632,28.598,90.3,5.8,"14:45",2024-05-29 14:45:00
"84",20240529,3,"Control","Control 3",36.4,8.04514300551262,29.591,99.3,6.24,"14:45",2024-05-29 14:45:00
"85",20240529,4,"Control","Control 4",36.4,8.01845175219933,29.322,97.3,6.08,"14:45",2024-05-29 14:45:00
