Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
2.19,645,235.6,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (CRM),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-38.2,NaN,25.2,,,
0.06,17,-50.2,0.0035,25.3,,,
0.12,38,-33,0.003,25.3,,,
0.18,58,-13.2,0.003,25.3,,,
0.24,78,0,0.003,25.3,,,
0.3,98,9.2,0.003,25.3,,,
0.36,118,17.2,0.003,25.3,,,
0.42,138,24.5,0.003,25.3,,,
0.48,158,31.2,0.003,25.3,,,
0.54,178,37.3,0.003,25.3,,,
0.6,198,43,0.003,25.3,,,
0.66,219,48.3,0.003,25.3,,,
0.72,239,53.3,0.003,25.3,,,
0.78,259,58.3,0.003,25.3,,,
0.84,279,63.4,0.003,25.3,,,
0.9,298,68.7,0.003,25.3,,,
0.96,318,74.6,0.003,25.3,,,
1.02,337,80.9,0.003,25.3,,,
1.08,355,88.3,0.0035,25.3,,,
1.14,372,97.5,0.0035,25.3,,,
1.2,389,109.5,0.0035,25.3,267.37,2.43,
1.26,404,127.1,0.004,25.3,318.05,2.5,
1.32,414,152.3,0.006,25.3,339.49,2.53,
1.38,421,173.9,0.0085,25.3,314.82,2.5,
1.44,427,187.5,0.01,25.3,245.29,2.39,
1.47,523,192.4,0.0005,25.3,189.8,2.28,
1.5,528,196.5,0.0055,25.3,132.58,2.12,
1.53,534,200.2,0.005,25.3,106.2,2.03,
1.56,539,203.3,0.006,25.3,97.58,1.99,
1.59,545,206.2,0.0055,25.3,89.82,1.95,
1.62,550,208.8,0.0065,25.3,81.56,1.91,
1.65,555,211.1,0.006,25.3,74.46,1.87,
1.68,560,213.3,0.006,25.3,68.69,1.84,
1.71,565,215.2,0.006,25.3,63.16,1.8,
1.74,570,217.1,0.006,25.3,59.08,1.77,
1.77,575,218.8,0.006,25.3,55.42,1.74,
1.8,580,220.4,0.0055,25.3,52.09,1.72,
1.83,585,221.9,0.0055,25.3,49.14,1.69,
1.86,590,223.4,0.0055,25.3,46.27,1.67,
1.89,596,224.7,0.0055,25.3,43.95,1.64,
1.92,601,226,0.0065,25.3,41.81,1.62,
1.95,606,227.2,0.0065,25.3,39.8,1.6,
1.98,611,228.4,0.006,25.3,37.94,1.58,
2.01,616,229.5,0.006,25.3,36.66,1.56,
2.04,621,230.6,0.006,25.3,35.15,1.55,
2.07,626,231.6,0.006,25.3,,,
2.1,631,232.6,0.006,25.3,,,
2.13,636,233.6,0.006,25.3,,,
2.16,641,234.5,0.0055,25.3,,,
2.19,646,235.4,0.0055,25.3,,,
Scope 1/1, Sample 1/18 (Junk2),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-59.9,NaN,25.4,,,
0.06,17,-61.6,0.0035,25.5,,,
0.12,37,-49.7,0.003,25.5,,,
0.18,58,-32.9,0.003,25.5,,,
0.24,78,-13.1,0.003,25.5,,,
0.3,98,0.4,0.003,25.5,,,
0.36,118,10.2,0.003,25.5,,,
0.42,138,18.1,0.003,25.5,,,
0.48,158,25,0.003,25.5,,,
0.54,178,31.4,0.003,25.5,,,
0.6,198,37.2,0.003,25.5,,,
0.66,218,42.8,0.003,25.5,,,
0.72,239,48.2,0.003,25.5,,,
0.78,259,53.4,0.003,25.5,,,
0.84,278,58.6,0.003,25.5,,,
0.9,298,63.8,0.003,25.5,,,
0.96,317,69.1,0.003,25.5,,,
1.02,335,74.9,0.0035,25.5,,,
1.08,354,81.1,0.003,25.5,,,
1.14,372,88.3,0.0035,25.5,,,
1.2,388,96.8,0.0035,25.5,,,
1.26,404,107.9,0.0035,25.5,248.25,2.39,
1.32,418,123.5,0.0045,25.5,302.62,2.48,
1.38,429,147.1,0.0055,25.5,333.61,2.52,
1.44,436,170.6,0.008,25.5,321.27,2.51,
1.5,442,185.1,0.0095,25.5,261.2,2.42,
1.53,538,190.5,0.0005,25.5,209.98,2.32,
1.56,543,195,0.0055,25.5,149.14,2.17,
1.59,549,198.9,0.005,25.5,113.84,2.06,
1.62,554,202.3,0.006,25.5,103.92,2.02,
1.65,559,205.3,0.0055,25.5,93.89,1.97,
1.68,564,208,0.0055,25.5,84.67,1.93,
1.71,570,210.4,0.0055,25.5,77.25,1.89,
1.74,575,212.6,0.0065,25.5,70.98,1.85,
1.77,580,214.7,0.006,25.5,65.68,1.82,
1.8,585,216.6,0.006,25.5,61.42,1.79,
1.83,590,218.4,0.006,25.5,57.23,1.76,
1.86,595,220,0.006,25.5,53.6,1.73,
1.89,600,221.6,0.006,25.5,50.29,1.7,
1.92,605,223.1,0.0055,25.5,47.41,1.68,
1.95,610,224.4,0.0055,25.5,44.95,1.65,
1.98,616,225.8,0.0055,25.5,43,1.63,
2.01,621,227,0.0065,25.5,40.94,1.61,
2.04,626,228.2,0.006,25.5,39.14,1.59,
2.07,631,229.4,0.006,25.5,37.52,1.57,
2.1,636,230.5,0.006,25.5,35.62,1.55,
2.13,641,231.5,0.006,25.5,,,
2.16,646,232.5,0.006,25.5,,,
2.19,651,233.5,0.006,25.5,,,
2.22,656,234.4,0.0055,25.5,,,
2.25,661,235.3,0.0055,25.5,,,
Scope 1/1, Sample 1/18 (Tank7_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-72.1,NaN,23.9,,,
0.06,14,-72.1,0.0045,23.8,,,
0.12,34,-62.3,0.003,23.8,,,
0.18,54,-49.1,0.003,23.9,,,
0.24,74,-30.5,0.003,23.9,,,
0.3,94,-10.5,0.003,23.9,,,
0.36,114,2.6,0.003,23.9,,,
0.42,134,11.9,0.003,23.9,,,
0.48,155,19.9,0.003,24,,,
0.54,175,26.9,0.003,24,,,
0.6,195,33.4,0.003,24,,,
0.66,215,39.6,0.003,24,,,
0.72,235,45.4,0.003,24,,,
0.78,255,51,0.003,24.1,,,
0.84,275,56.6,0.003,24.1,,,
0.9,296,62.2,0.003,24.1,,,
0.96,316,68,0.003,24.1,,,
1.02,336,74.1,0.003,24.1,,,
1.08,354,80.7,0.0035,24.2,,,
1.14,373,88.2,0.003,24.2,,,
1.2,390,97.5,0.0035,24.2,,,
1.26,406,109.6,0.0035,24.2,268.8,2.43,
1.32,420,127.2,0.004,24.2,318.12,2.5,
1.38,430,152.6,0.006,24.2,338.52,2.53,
1.44,437,174.1,0.008,24.2,312.68,2.5,
1.5,444,187.1,0.009,24.2,242.84,2.39,
1.53,540,192.1,0.0005,24.3,187.27,2.27,
1.56,546,196.3,0.005,24.3,130.44,2.12,
1.59,552,199.9,0.005,24.3,105.75,2.02,
1.62,557,203.1,0.006,24.3,97.76,1.99,
1.65,562,205.9,0.006,24.3,88.42,1.95,
1.68,567,208.4,0.006,24.3,80.34,1.9,
1.71,572,210.7,0.006,24.3,73.96,1.87,
1.74,577,212.9,0.0055,24.3,68.7,1.84,
1.77,582,214.9,0.0055,24.3,64.22,1.81,
1.8,588,216.7,0.0055,24.3,59.95,1.78,
1.83,593,218.5,0.0065,24.3,55.61,1.75,
1.86,598,220.1,0.006,24.4,51.55,1.71,
1.89,603,221.6,0.006,24.4,48.42,1.69,
1.92,608,223,0.006,24.4,45.95,1.66,
1.95,613,224.3,0.006,24.4,43.95,1.64,
1.98,618,225.6,0.006,24.4,42.33,1.63,
2.01,623,226.9,0.0055,24.4,40.32,1.61,
2.04,628,228.1,0.0055,24.4,38.14,1.58,
2.07,634,229.2,0.0055,24.4,36.15,1.56,
2.1,639,230.2,0.0065,24.4,34.28,1.54,
2.13,644,231.2,0.0065,24.4,,,
2.16,649,232.2,0.006,24.4,,,
2.19,654,233.2,0.006,24.4,,,
2.22,659,234.1,0.006,24.4,,,
2.25,664,235,0.006,24.4,,,
Scope 1/1, Sample 1/18 (Tank8_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-67.3,NaN,23.8,,,
0.06,15,-68.2,0.004,23.7,,,
0.12,35,-57.7,0.003,23.7,,,
0.18,55,-42.9,0.003,23.7,,,
0.24,75,-23.1,0.003,23.7,,,
0.3,96,-5.9,0.003,23.8,,,
0.36,116,4.9,0.003,23.8,,,
0.42,136,13.9,0.003,23.8,,,
0.48,156,21.3,0.003,23.8,,,
0.54,176,27.9,0.003,23.9,,,
0.6,196,34,0.003,23.9,,,
0.66,216,39.8,0.003,23.9,,,
0.72,236,45.3,0.003,23.9,,,
0.78,256,50.7,0.003,23.9,,,
0.84,277,56,0.003,24,,,
0.9,297,61.2,0.003,24,,,
0.96,317,66.8,0.003,24,,,
1.02,337,72.4,0.003,24,,,
1.08,355,78.5,0.0035,24,,,
1.14,373,85.3,0.0035,24,,,
1.2,390,93.5,0.0035,24.1,,,
1.26,406,103.9,0.0035,24.1,232.06,2.37,
1.32,422,118,0.004,24.1,290.52,2.46,
1.38,434,139.8,0.005,24.1,331.16,2.52,
1.44,442,165,0.0075,24.1,330.85,2.52,
1.5,449,181.3,0.009,24.1,280.63,2.45,
1.53,545,187.3,0.0005,24.2,233.96,2.37,
1.56,551,192.2,0.005,24.2,170.24,2.23,
1.59,556,196.4,0.0055,24.2,123.4,2.09,
1.62,562,200,0.005,24.2,109.21,2.04,
1.65,567,203.1,0.006,24.2,97.93,1.99,
1.68,573,205.9,0.005,24.2,88.27,1.95,
1.71,578,208.4,0.006,24.2,80.39,1.91,
1.74,583,210.8,0.006,24.2,73.97,1.87,
1.77,588,212.9,0.006,24.2,68.36,1.83,
1.8,594,214.9,0.0055,24.2,63.23,1.8,
1.83,599,216.7,0.0065,24.2,58.55,1.77,
1.86,604,218.4,0.0065,24.2,54.56,1.74,
1.89,609,220,0.006,24.2,51.61,1.71,
1.92,614,221.5,0.006,24.3,48.75,1.69,
1.95,619,222.9,0.006,24.3,46.47,1.67,
1.98,624,224.3,0.006,24.3,44.14,1.64,
2.01,629,225.6,0.006,24.3,42.13,1.62,
2.04,634,226.8,0.006,24.3,40.15,1.6,
2.07,639,228,0.0055,24.3,38.33,1.58,
2.1,644,229.1,0.0055,24.3,36.28,1.56,
2.13,650,230.2,0.0055,24.3,34.8,1.54,
2.16,655,231.2,0.0065,24.3,,,
2.19,660,232.2,0.0065,24.3,,,
2.22,665,233.1,0.0065,24.3,,,
2.25,670,234.1,0.006,24.3,,,
2.28,675,235,0.006,24.3,,,
Scope 1/1, Sample 1/18 (Tank9_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-69.2,NaN,24.2,,,
0.06,17,-69.7,0.0035,24.2,,,
0.12,38,-59.5,0.003,24.2,,,
0.18,58,-44.9,0.003,24.2,,,
0.24,78,-24.9,0.003,24.2,,,
0.3,98,-6.6,0.003,24.2,,,
0.36,118,4.9,0.003,24.2,,,
0.42,138,14.3,0.003,24.3,,,
0.48,158,21.9,0.003,24.3,,,
0.54,178,28.9,0.003,24.3,,,
0.6,198,35.3,0.003,24.3,,,
0.66,219,41.4,0.003,24.3,,,
0.72,239,47.2,0.003,24.3,,,
0.78,259,53,0.003,24.4,,,
0.84,279,58.6,0.003,24.4,,,
0.9,299,64.4,0.003,24.4,,,
0.96,318,70.3,0.003,24.4,,,
1.02,338,76.8,0.003,24.4,,,
1.08,358,83.9,0.003,24.4,,,
1.14,376,92,0.0035,24.4,,,
1.2,393,102.4,0.0035,24.4,233.67,2.37,
1.26,408,116.9,0.004,24.5,293.37,2.47,
1.32,421,138.7,0.0045,24.5,336.1,2.53,
1.38,430,164.2,0.007,24.5,337.04,2.53,
1.44,436,181.4,0.01,24.5,285.87,2.46,
1.47,532,187.3,0.0005,24.5,238.36,2.38,
1.5,538,192.2,0.0045,24.5,173.81,2.24,
1.53,544,196.4,0.005,24.5,124.4,2.09,
1.56,550,200,0.0055,24.5,108.69,2.04,
1.59,555,203.2,0.006,24.5,99.31,2,
1.62,560,206,0.0055,24.5,88.94,1.95,
1.65,566,208.6,0.005,24.5,80.72,1.91,
1.68,571,210.9,0.006,24.6,74.11,1.87,
1.71,576,213,0.006,24.6,68.5,1.84,
1.74,582,215,0.0055,24.6,63.74,1.8,
1.77,587,216.9,0.0065,24.6,59.22,1.77,
1.8,592,218.6,0.0065,24.6,55.42,1.74,
1.83,597,220.2,0.006,24.6,51.95,1.72,
1.86,602,221.7,0.006,24.6,48.75,1.69,
1.89,607,223.1,0.006,24.6,46.27,1.67,
1.92,612,224.5,0.006,24.6,44.14,1.64,
1.95,617,225.8,0.006,24.6,42.13,1.62,
1.98,622,227,0.006,24.6,40.15,1.6,
2.01,627,228.2,0.0055,24.6,38.33,1.58,
2.04,632,229.3,0.0055,24.6,36.28,1.56,
2.07,638,230.4,0.0055,24.6,35,1.54,
2.1,643,231.4,0.0065,24.6,,,
2.13,648,232.4,0.0065,24.6,,,
2.16,653,233.3,0.006,24.6,,,
2.19,658,234.3,0.006,24.6,,,
2.22,663,235.1,0.006,24.6,,,
Scope 1/1, Sample 1/18 (Tank10_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-75.6,NaN,24.4,,,
0.06,14,-74.2,0.0045,24.5,,,
0.12,34,-64.2,0.003,24.5,,,
0.18,54,-50.8,0.003,24.5,,,
0.24,74,-31.7,0.003,24.5,,,
0.3,94,-10.1,0.003,24.5,,,
0.36,115,3.4,0.003,24.5,,,
0.42,135,13.4,0.003,24.5,,,
0.48,155,21.7,0.003,24.5,,,
0.54,175,29.2,0.003,24.6,,,
0.6,195,36.1,0.003,24.6,,,
0.66,215,42.7,0.003,24.6,,,
0.72,235,49.1,0.003,24.6,,,
0.78,255,55.2,0.003,24.6,,,
0.84,276,61.4,0.003,24.6,,,
0.9,296,67.7,0.003,24.6,,,
0.96,315,74.4,0.003,24.6,,,
1.02,335,81.8,0.003,24.6,,,
1.08,354,90.3,0.003,24.7,,,
1.14,370,100.8,0.0035,24.7,240.39,2.38,
1.2,386,115.6,0.0035,24.7,300.97,2.48,
1.26,399,138.4,0.0045,24.7,343.69,2.54,
1.32,407,164.3,0.0075,24.7,343.5,2.54,
1.38,414,181.4,0.009,24.7,289.96,2.46,
1.41,511,187.6,0.0005,24.7,240,2.38,
1.44,517,192.5,0.0055,24.7,173.13,2.24,
1.47,523,196.6,0.0055,24.7,124.23,2.09,
1.5,528,200.2,0.0055,24.7,108.46,2.04,
1.53,534,203.4,0.005,24.7,98.57,1.99,
1.56,539,206.2,0.006,24.7,89.29,1.95,
1.59,544,208.8,0.0055,24.7,81.24,1.91,
1.62,550,211.1,0.0055,24.8,74.31,1.87,
1.65,554,213.3,0.0065,24.8,68.5,1.84,
1.68,560,215.2,0.0055,24.8,63.36,1.8,
1.71,565,217.1,0.0065,24.8,59.08,1.77,
1.74,570,218.8,0.006,24.8,55.42,1.74,
1.77,575,220.4,0.006,24.8,52.09,1.72,
1.8,580,221.9,0.006,24.8,49.14,1.69,
1.83,585,223.4,0.006,24.8,46.27,1.67,
1.86,590,224.7,0.006,24.8,43.95,1.64,
1.89,595,226,0.006,24.8,41.81,1.62,
1.92,600,227.2,0.0055,24.8,39.8,1.6,
1.95,605,228.4,0.0055,24.8,38.14,1.58,
1.98,610,229.5,0.0055,24.8,36.47,1.56,
2.01,616,230.6,0.0055,24.8,35,1.54,
2.04,621,231.6,0.0065,24.8,,,
2.07,626,232.6,0.006,24.8,,,
2.1,631,233.5,0.006,24.8,,,
2.13,636,234.5,0.006,24.8,,,
2.16,641,235.3,0.006,24.8,,,
Scope 1/1, Sample 1/18 (Tank11_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-67.7,NaN,24.5,,,
0.06,17,-66.9,0.0035,24.6,,,
0.12,38,-56,0.003,24.6,,,
0.18,58,-41.1,0.003,24.6,,,
0.24,78,-20.8,0.003,24.6,,,
0.3,98,-4.6,0.003,24.6,,,
0.36,118,6.2,0.003,24.6,,,
0.42,138,15.1,0.003,24.6,,,
0.48,158,22.3,0.003,24.6,,,
0.54,178,28.9,0.003,24.6,,,
0.6,198,35,0.003,24.7,,,
0.66,219,40.7,0.003,24.7,,,
0.72,239,46.2,0.003,24.7,,,
0.78,259,51.5,0.003,24.7,,,
0.84,279,56.8,0.003,24.7,,,
0.9,299,62,0.003,24.7,,,
0.96,318,67.5,0.003,24.7,,,
1.02,339,73.2,0.003,24.7,,,
1.08,356,79.2,0.0035,24.7,,,
1.14,374,86.1,0.0035,24.7,,,
1.2,391,94.3,0.0035,24.8,,,
1.26,406,104.7,0.004,24.8,231.93,2.37,
1.32,421,118.9,0.004,24.8,289.72,2.46,
1.38,432,140.6,0.0055,24.8,329.42,2.52,
1.44,440,165.5,0.0075,24.8,328.67,2.52,
1.5,446,181.7,0.0095,24.8,278.45,2.44,
1.53,542,187.7,0.0005,24.8,232.07,2.37,
1.56,547,192.6,0.0055,24.8,169.45,2.23,
1.59,553,196.7,0.005,24.8,123.6,2.09,
1.62,559,200.3,0.0055,24.8,109.27,2.04,
1.65,564,203.5,0.006,24.8,98.3,1.99,
1.68,569,206.3,0.006,24.8,88.43,1.95,
1.71,574,208.8,0.0055,24.8,80.38,1.91,
1.74,579,211.1,0.0055,24.8,73.64,1.87,
1.77,584,213.3,0.0055,24.8,68.16,1.83,
1.8,590,215.2,0.0055,24.8,63.56,1.8,
1.83,595,217.1,0.0065,24.8,59.09,1.77,
1.86,600,218.8,0.006,24.8,55.27,1.74,
1.89,605,220.4,0.006,24.8,51.57,1.71,
1.92,610,221.9,0.006,24.8,48.79,1.69,
1.95,615,223.3,0.006,24.8,45.95,1.66,
1.98,620,224.7,0.006,24.8,43.61,1.64,
2.01,625,225.9,0.006,24.8,41.47,1.62,
2.04,630,227.2,0.0055,24.8,39.48,1.6,
2.07,635,228.3,0.0055,24.8,37.6,1.58,
2.1,640,229.4,0.0055,24.9,36.15,1.56,
2.13,646,230.5,0.0055,24.9,35,1.54,
2.16,651,231.5,0.0065,24.9,,,
2.19,656,232.5,0.0065,24.9,,,
2.22,661,233.5,0.006,24.9,,,
2.25,666,234.4,0.006,24.9,,,
2.28,671,235.3,0.006,24.9,,,
Scope 1/1, Sample 1/18 (Tank12_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-78.8,NaN,24.6,,,
0.06,15,-76.6,0.004,24.6,,,
0.12,35,-67.6,0.003,24.6,,,
0.18,55,-55.9,0.003,24.7,,,
0.24,75,-39.6,0.003,24.7,,,
0.3,95,-18.1,0.003,24.7,,,
0.36,115,-1.7,0.003,24.7,,,
0.42,135,9,0.003,24.7,,,
0.48,156,17.7,0.003,24.7,,,
0.54,176,25.4,0.003,24.7,,,
0.6,196,32.3,0.003,24.7,,,
0.66,216,38.8,0.003,24.7,,,
0.72,236,45,0.003,24.7,,,
0.78,256,51,0.003,24.7,,,
0.84,276,56.9,0.003,24.8,,,
0.9,296,62.8,0.003,24.8,,,
0.96,317,68.9,0.003,24.8,,,
1.02,336,75.3,0.003,24.8,,,
1.08,354,82.2,0.0035,24.8,,,
1.14,373,90.5,0.003,24.8,,,
1.2,389,100.5,0.0035,24.8,,,
1.26,404,114.4,0.004,24.8,294.27,2.47,
1.32,417,135.2,0.0045,24.8,334.31,2.52,
1.38,426,161.3,0.007,24.8,338.3,2.53,
1.44,432,179.7,0.0095,24.8,295.07,2.47,
1.5,438,191,0.01,24.8,213.88,2.33,
1.53,534,195.4,0.0005,24.9,156.22,2.19,
1.56,540,199.2,0.0055,24.8,109.94,2.04,
1.59,545,202.5,0.006,24.9,97.49,1.99,
1.62,550,205.4,0.006,24.9,91.22,1.96,
1.65,555,208.1,0.0055,24.9,83.01,1.92,
1.68,560,210.4,0.0055,24.9,75.91,1.88,
1.71,566,212.6,0.0055,24.9,69.84,1.84,
1.74,571,214.7,0.0065,24.9,64.87,1.81,
1.77,576,216.5,0.006,24.9,60.37,1.78,
1.8,581,218.3,0.006,24.9,56.61,1.75,
1.83,586,219.9,0.006,24.9,52.94,1.72,
1.86,591,221.5,0.006,24.9,49.76,1.7,
1.89,596,222.9,0.0055,24.9,46.94,1.67,
1.92,601,224.3,0.0055,24.9,44.48,1.65,
1.95,606,225.6,0.0055,24.9,42.28,1.63,
1.98,612,226.8,0.0055,24.9,40.27,1.61,
2.01,617,228,0.0065,24.9,38.86,1.59,
2.04,622,229.2,0.0065,24.9,36.94,1.57,
2.07,627,230.2,0.006,24.9,35.47,1.55,
2.1,632,231.3,0.006,24.9,,,
2.13,637,232.3,0.006,24.9,,,
2.16,642,233.2,0.006,24.9,,,
2.19,647,234.2,0.006,24.9,,,
2.22,652,235.1,0.006,24.9,,,
Scope 1/1, Sample 1/18 (Tank13_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-68.7,NaN,24.4,,,
0.06,17,-67.4,0.0035,24.5,,,
0.12,38,-57.1,0.003,24.5,,,
0.18,58,-42.3,0.003,24.5,,,
0.24,78,-22.1,0.003,24.5,,,
0.3,98,-5,0.003,24.5,,,
0.36,118,5.9,0.003,24.5,,,
0.42,138,14.9,0.003,24.6,,,
0.48,158,22.3,0.003,24.6,,,
0.54,178,28.9,0.003,24.6,,,
0.6,198,35.1,0.003,24.6,,,
0.66,219,40.8,0.003,24.6,,,
0.72,239,46.4,0.003,24.6,,,
0.78,259,51.8,0.003,24.6,,,
0.84,279,57.1,0.003,24.6,,,
0.9,299,62.4,0.003,24.6,,,
0.96,319,67.9,0.003,24.6,,,
1.02,337,73.7,0.0035,24.6,,,
1.08,356,80,0.003,24.6,,,
1.14,373,87.1,0.0035,24.7,,,
1.2,390,95.7,0.0035,24.7,,,
1.26,406,106.8,0.004,24.7,246.86,2.39,
1.32,420,122.1,0.0045,24.7,301.82,2.48,
1.38,430,145.6,0.006,24.7,334.46,2.52,
1.44,438,169.4,0.0075,24.7,323.77,2.51,
1.5,444,184.2,0.01,24.7,265.15,2.42,
1.53,540,189.8,0.0005,24.7,214.54,2.33,
1.56,546,194.4,0.005,24.7,152.59,2.18,
1.59,552,198.3,0.0055,24.7,115.27,2.06,
1.62,557,201.7,0.006,24.7,104.35,2.02,
1.65,562,204.7,0.006,24.7,93.64,1.97,
1.68,568,207.4,0.0055,24.7,84.8,1.93,
1.71,572,209.8,0.0065,24.7,77.78,1.89,
1.74,578,212.1,0.0055,24.7,71.64,1.86,
1.77,583,214.1,0.0065,24.7,66.54,1.82,
1.8,588,216.1,0.006,24.7,61.76,1.79,
1.83,593,217.9,0.006,24.7,57.21,1.76,
1.86,598,219.5,0.006,24.7,53.42,1.73,
1.89,603,221.1,0.006,24.7,50.09,1.7,
1.92,608,222.5,0.006,24.7,47.4,1.68,
1.95,613,223.9,0.0055,24.8,45.48,1.66,
1.98,618,225.3,0.0055,24.8,43.66,1.64,
2.01,623,226.5,0.0055,24.8,41.48,1.62,
2.04,628,227.8,0.0055,24.8,39.33,1.59,
2.07,634,228.9,0.0055,24.8,36.94,1.57,
2.1,639,230,0.0065,24.8,35.29,1.55,
2.13,644,231,0.006,24.8,34.33,1.54,
2.16,649,232,0.006,24.8,,,
2.19,654,233,0.006,24.8,,,
2.22,659,234,0.006,24.8,,,
2.25,664,234.9,0.006,24.8,,,
2.28,669,235.7,0.006,24.8,,,
Scope 1/1, Sample 1/18 (Tank14_0620_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-69.6,NaN,24.4,,,
0.06,16,-69,0.0035,24.4,,,
0.12,37,-58.8,0.003,24.5,,,
0.18,57,-44.8,0.003,24.5,,,
0.24,77,-25.2,0.003,24.5,,,
0.3,97,-6.7,0.003,24.5,,,
0.36,117,4.6,0.003,24.5,,,
0.42,137,13.9,0.003,24.5,,,
0.48,157,21.5,0.003,24.5,,,
0.54,178,28.2,0.003,24.5,,,
0.6,198,34.4,0.003,24.6,,,
0.66,218,40.3,0.003,24.6,,,
0.72,238,45.9,0.003,24.6,,,
0.78,258,51.4,0.003,24.6,,,
0.84,278,56.8,0.003,24.6,,,
