Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0.3,89,-32.8,0.003,25.4,,,
0.36,110,-10.8,0.003,25.4,,,
0.42,130,3.3,0.003,25.4,,,
0.48,150,13.7,0.003,25.4,,,
0.54,170,22.4,0.003,25.3,,,
0.6,190,30.7,0.003,25.3,,,
0.66,210,37.6,0.003,25.3,,,
0.72,230,44.4,0.003,25.3,,,
0.78,250,51.1,0.003,25.3,,,
0.84,270,57.6,0.003,25.3,,,
0.9,290,64.2,0.003,25.3,,,
0.96,311,71,0.003,25.3,,,
1.02,331,78.3,0.003,25.3,,,
1.08,351,86.6,0.003,25.3,,,
1.14,370,96.3,0.003,25.3,,,
1.2,387,109.4,0.0035,25.3,289.26,2.46,
1.26,402,129.2,0.004,25.3,336.52,2.53,
1.32,412,156.1,0.006,25.3,350.78,2.55,
1.38,420,176.8,0.008,25.3,315.81,2.5,
1.44,426,189.6,0.0105,25.3,236.4,2.37,
1.47,522,194.1,0.0005,25.3,176.3,2.25,
1.5,527,198.2,0.006,25.3,121.53,2.08,
1.53,533,201.7,0.0055,25.3,102.16,2.01,
1.56,538,204.8,0.0065,25.3,94.88,1.98,
1.59,543,207.5,0.006,25.3,87.58,1.94,
1.62,548,210.1,0.006,25.3,79.06,1.9,
1.65,553,212.3,0.006,25.3,72.43,1.86,
1.68,558,214.4,0.006,25.3,66.7,1.82,
1.71,563,216.4,0.0055,25.3,61.69,1.79,
1.74,569,218.1,0.0055,25.3,57.7,1.76,
1.77,574,219.8,0.006,25.3,54.82,1.74,
1.8,579,221.4,0.006,25.3,51.41,1.71,
1.83,584,222.9,0.006,25.3,48.8,1.69,
1.86,589,224.4,0.006,25.3,46.34,1.67,
1.89,594,225.7,0.006,25.3,43.42,1.64,
1.92,599,226.9,0.006,25.3,41.14,1.61,
1.95,604,228.2,0.0055,25.3,39.14,1.59,
1.98,609,229.3,0.0055,25.3,37.61,1.58,
2.01,614,230.4,0.0055,25.3,36.34,1.56,
2.04,620,231.5,0.0055,25.3,,,
2.07,625,232.5,0.0065,25.3,,,
2.1,630,233.5,0.0065,25.3,,,
2.13,635,234.4,0.006,25.3,,,
2.16,640,235.3,0.006,25.3,,,
Scope 1/1, Sample 1/18 (C9_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-78,NaN,22.6,,,
0.06,8,-81.5,0.008,22.5,,,
0.12,28,-72.9,0.003,22.5,,,
0.18,48,-62.1,0.003,22.5,,,
0.24,68,-47.1,0.003,22.6,,,
0.3,88,-25.5,0.003,22.6,,,
0.36,108,-5.6,0.003,22.6,,,
0.42,128,6.6,0.003,22.7,,,
0.48,149,16.4,0.003,22.7,,,
0.54,169,24.7,0.003,22.7,,,
0.6,189,32.4,0.003,22.7,,,
0.66,209,39.6,0.003,22.8,,,
0.72,229,46.8,0.003,22.8,,,
0.78,249,53.6,0.003,22.8,,,
0.84,270,60.6,0.003,22.9,,,
0.9,290,67.4,0.003,22.9,,,
0.96,310,74.9,0.003,22.9,,,
1.02,330,83.3,0.003,22.9,,,
1.08,350,93.1,0.003,23,,,
1.14,369,105.6,0.003,23,285.55,2.46,
1.2,385,124.4,0.0035,23,335.85,2.53,
1.26,397,152,0.005,23,355.91,2.55,
1.32,405,173.8,0.0075,23,326.35,2.51,
1.38,412,187.2,0.009,23,249.2,2.4,
1.41,509,192.2,0.0005,23.2,187.92,2.27,
1.44,515,196.4,0.005,23.2,127.57,2.11,
1.47,521,199.8,0.005,23.2,104.81,2.02,
1.5,527,203,0.005,23.2,96.2,1.98,
1.53,533,205.9,0.005,23.2,87.93,1.94,
1.56,539,208.4,0.005,23.2,80.35,1.9,
1.59,544,210.6,0.006,23.2,73.84,1.87,
1.62,550,212.8,0.005,23.2,67.68,1.83,
1.65,555,214.8,0.006,23.2,63.02,1.8,
1.68,560,216.6,0.0055,23.2,58.9,1.77,
1.71,566,218.3,0.005,23.2,55.13,1.74,
1.74,571,219.9,0.0055,23.2,51.42,1.71,
1.77,577,221.4,0.0055,23.2,48.41,1.68,
1.8,582,222.8,0.0065,23.2,45.8,1.66,
1.83,587,224.2,0.006,23.2,43.28,1.64,
1.86,592,225.4,0.006,23.3,41.28,1.62,
1.89,598,226.6,0.0055,23.3,39.48,1.6,
1.92,603,227.8,0.0065,23.3,37.99,1.58,
1.95,608,228.9,0.006,23.3,36.48,1.56,
1.98,613,230,0.006,23.3,34.81,1.54,
2.01,618,231,0.006,23.3,33.33,1.52,
2.04,623,232,0.006,23.3,,,
2.07,628,232.9,0.0055,23.3,,,
2.1,633,233.8,0.0055,23.3,,,
2.13,638,234.8,0.0055,23.3,,,
2.16,644,235.6,0.0055,23.3,,,
Scope 1/1, Sample 1/18 (C10_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-80.6,NaN,22.9,,,
0.06,10,-82.7,0.006,22.8,,,
0.12,30,-74.3,0.003,22.8,,,
0.18,50,-63.8,0.003,22.9,,,
0.24,70,-49.5,0.003,22.9,,,
0.3,90,-28.9,0.003,22.9,,,
0.36,110,-7.2,0.003,22.9,,,
0.42,130,5.5,0.003,23,,,
0.48,151,15.6,0.003,23,,,
0.54,171,24.1,0.003,23,,,
0.6,191,31.9,0.003,23,,,
0.66,211,39.3,0.003,23.1,,,
0.72,231,46.5,0.003,23.1,,,
0.78,251,53.5,0.003,23.1,,,
0.84,271,60.5,0.003,23.1,,,
0.9,291,67.6,0.003,23.2,,,
0.96,312,75,0.003,23.2,,,
1.02,332,83.4,0.003,23.2,,,
1.08,352,93.5,0.003,23.2,,,
1.14,370,106.4,0.0035,23.3,291.33,2.46,
1.2,387,125.9,0.0035,23.3,340.7,2.53,
1.26,399,153.7,0.005,23.3,357.42,2.55,
1.32,406,175,0.008,23.3,324.12,2.51,
1.38,413,188.1,0.009,23.3,244.7,2.39,
1.41,510,193.1,0.0005,23.4,182.79,2.26,
1.44,515,197.2,0.0055,23.4,124.14,2.09,
1.47,521,200.6,0.005,23.4,103.42,2.01,
1.5,528,203.7,0.0045,23.4,95.04,1.98,
1.53,533,206.5,0.006,23.4,86.74,1.94,
1.56,538,209,0.0055,23.4,79.39,1.9,
1.59,544,211.3,0.005,23.5,72.83,1.86,
1.62,549,213.4,0.006,23.5,66.83,1.82,
1.65,554,215.3,0.0055,23.5,62.03,1.79,
1.68,559,217.1,0.0055,23.5,57.89,1.76,
1.71,565,218.8,0.005,23.5,54.41,1.74,
1.74,570,220.4,0.006,23.5,51.61,1.71,
1.77,576,221.9,0.0055,23.5,49.14,1.69,
1.8,581,223.3,0.0065,23.5,46.47,1.67,
1.83,586,224.7,0.006,23.5,43.8,1.64,
1.86,591,226,0.006,23.5,41.47,1.62,
1.89,596,227.2,0.006,23.5,39.29,1.59,
1.92,601,228.3,0.0055,23.5,37.47,1.57,
1.95,606,229.4,0.0055,23.5,35.81,1.55,
1.98,612,230.5,0.0055,23.5,34.47,1.54,
2.01,616,231.5,0.0065,23.5,,,
2.04,622,232.5,0.0055,23.5,,,
2.07,627,233.4,0.006,23.5,,,
2.1,632,234.3,0.006,23.6,,,
2.13,637,235.2,0.006,23.6,,,
Scope 1/1, Sample 1/18 (C11_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-79,NaN,23,,,
0.06,9,-81.2,0.0065,22.9,,,
0.12,29,-72.7,0.003,22.9,,,
0.18,49,-62.1,0.003,23,,,
0.24,69,-47.7,0.003,23,,,
0.3,90,-26.8,0.003,23,,,
0.36,110,-6.2,0.003,23.1,,,
0.42,130,5.8,0.003,23.1,,,
0.48,150,15.6,0.003,23.1,,,
0.54,170,23.9,0.003,23.1,,,
0.6,190,31.5,0.003,23.2,,,
0.66,210,38.5,0.003,23.2,,,
0.72,230,45.3,0.003,23.2,,,
0.78,250,52,0.003,23.2,,,
0.84,271,58.7,0.003,23.3,,,
0.9,291,65.4,0.003,23.3,,,
0.96,311,72.4,0.003,23.3,,,
1.02,331,80.1,0.003,23.3,,,
1.08,351,88.8,0.003,23.3,,,
1.14,371,99.6,0.003,23.4,245.88,2.39,
1.2,388,114.5,0.0035,23.4,307.08,2.49,
1.26,402,138,0.0045,23.4,349.73,2.54,
1.32,411,164.4,0.0065,23.4,348.22,2.54,
1.38,418,181.5,0.008,23.4,292.17,2.47,
1.41,515,187.6,0.0005,23.5,240.48,2.38,
1.44,521,192.5,0.005,23.5,171.14,2.23,
1.47,527,196.5,0.005,23.5,122.09,2.09,
1.5,533,200.1,0.005,23.5,107.47,2.03,
1.53,539,203.3,0.005,23.5,97.91,1.99,
1.56,545,206.1,0.0055,23.6,88.95,1.95,
1.59,550,208.6,0.006,23.6,81.11,1.91,
1.62,556,211,0.0055,23.6,73.97,1.87,
1.65,561,213.1,0.006,23.6,68.16,1.83,
1.68,566,215.1,0.0055,23.6,63.23,1.8,
1.71,572,216.9,0.005,23.6,58.55,1.77,
1.74,577,218.6,0.0055,23.6,54.75,1.74,
1.77,582,220.2,0.0055,23.6,51.42,1.71,
1.8,588,221.7,0.0055,23.6,48.41,1.68,
1.83,593,223.1,0.0065,23.6,46.34,1.67,
1.86,598,224.5,0.0065,23.6,43.95,1.64,
1.89,603,225.7,0.006,23.6,41.6,1.62,
1.92,608,227,0.006,23.6,39.86,1.6,
1.95,613,228.2,0.006,23.6,37.95,1.58,
1.98,618,229.2,0.006,23.6,36.28,1.56,
2.01,623,230.3,0.0055,23.6,34.86,1.54,
2.04,628,231.4,0.0055,23.6,,,
2.07,634,232.3,0.0055,23.6,,,
2.1,638,233.3,0.0065,23.7,,,
2.13,644,234.2,0.0055,23.7,,,
2.16,649,235.1,0.0065,23.7,,,
Scope 1/1, Sample 1/18 (C12_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-78.8,NaN,23.3,,,
0.06,10,-81.3,0.006,23.2,,,
0.12,30,-72.8,0.003,23.3,,,
0.18,50,-62.6,0.003,23.3,,,
0.24,70,-48.6,0.003,23.3,,,
0.3,90,-28,0.003,23.3,,,
0.36,110,-7.7,0.003,23.4,,,
0.42,130,4.7,0.003,23.4,,,
0.48,151,14.6,0.003,23.4,,,
0.54,171,22.8,0.003,23.4,,,
0.6,191,30.3,0.003,23.4,,,
0.66,211,37.3,0.003,23.5,,,
0.72,231,43.9,0.003,23.5,,,
0.78,251,50.6,0.003,23.5,,,
0.84,272,57,0.003,23.5,,,
0.9,292,63.4,0.003,23.6,,,
0.96,312,70,0.003,23.6,,,
1.02,332,77.2,0.003,23.6,,,
1.08,352,85.2,0.003,23.6,,,
1.14,370,94.6,0.003,23.6,,,
1.2,389,107,0.003,23.6,278.38,2.44,
1.26,404,125.4,0.004,23.7,329.51,2.52,
1.32,416,151.9,0.005,23.7,350.74,2.54,
1.38,423,174,0.0085,23.7,323.32,2.51,
1.44,430,187.5,0.009,23.7,248.66,2.4,
1.47,526,192.4,0.0005,23.8,189.58,2.28,
1.5,533,196.5,0.0045,23.8,130.03,2.11,
1.53,538,200.2,0.0055,23.8,104.81,2.02,
1.56,544,203.3,0.005,23.8,96.82,1.99,
1.59,550,206.1,0.0055,23.8,88.81,1.95,
1.62,555,208.7,0.0055,23.8,80.58,1.91,
1.65,561,211,0.0055,23.8,73.58,1.87,
1.68,566,213.1,0.006,23.8,67.84,1.83,
1.71,571,215.1,0.006,23.8,62.88,1.8,
1.74,577,216.9,0.005,23.8,58.9,1.77,
1.77,582,218.6,0.006,23.8,55.42,1.74,
1.8,587,220.2,0.006,23.8,52.13,1.72,
1.83,592,221.8,0.006,23.8,48.95,1.69,
1.86,597,223.2,0.006,23.8,46.28,1.67,
1.89,602,224.5,0.0055,23.8,43.62,1.64,
1.92,608,225.8,0.0055,23.8,41.46,1.62,
1.95,613,227,0.006,23.8,39.61,1.6,
1.98,618,228.2,0.006,23.8,38.33,1.58,
2.01,623,229.3,0.006,23.8,36.47,1.56,
2.04,628,230.4,0.0055,23.8,34.8,1.54,
2.07,633,231.4,0.0055,23.8,,,
2.1,638,232.4,0.0055,23.9,,,
2.13,644,233.3,0.0055,23.9,,,
2.16,649,234.3,0.0065,23.9,,,
2.19,654,235.2,0.0065,23.9,,,
Scope 1/1, Sample 1/18 (C13_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-89.7,NaN,23.6,,,
0.06,8,-89.5,0.008,23.5,,,
0.12,25,-82.6,0.0035,23.6,,,
0.18,45,-74.1,0.003,23.6,,,
0.24,65,-63.7,0.003,23.6,,,
0.3,85,-49.8,0.003,23.6,,,
0.36,105,-30,0.003,23.6,,,
0.42,125,-8.3,0.003,23.6,,,
0.48,145,4.4,0.003,23.7,,,
0.54,166,14.6,0.003,23.7,,,
0.6,186,23.2,0.003,23.7,,,
0.66,206,30.9,0.003,23.7,,,
0.72,226,38.1,0.003,23.7,,,
0.78,246,45.1,0.003,23.8,,,
0.84,266,52,0.003,23.8,,,
0.9,286,58.8,0.003,23.8,,,
0.96,306,65.4,0.003,23.8,,,
1.02,327,72.3,0.003,23.8,,,
1.08,347,80,0.003,23.8,,,
1.14,366,88.8,0.003,23.9,,,
1.2,386,99.6,0.003,23.9,245.24,2.39,
1.26,403,114.5,0.0035,23.9,306.41,2.49,
1.32,416,137.4,0.0045,23.9,348.85,2.54,
1.38,426,164.3,0.0065,23.9,348.1,2.54,
1.44,433,181.5,0.009,23.9,293.34,2.47,
1.47,530,187.4,0.0005,24,242.45,2.38,
1.5,536,192.3,0.005,24,173.48,2.24,
1.53,542,196.6,0.005,24,122.55,2.09,
1.56,548,200.2,0.005,24,108.93,2.04,
1.59,553,203.3,0.006,24,99.52,2,
1.62,559,206.2,0.005,24,88.94,1.95,
1.65,564,208.7,0.006,24,80.51,1.91,
1.68,570,211.1,0.0055,24,73.98,1.87,
1.71,575,213.2,0.006,24,67.97,1.83,
1.74,580,215.1,0.006,24,63.03,1.8,
1.77,586,217,0.0055,24,59.28,1.77,
1.8,591,218.7,0.0065,24,55.55,1.74,
1.83,596,220.3,0.006,24,52.47,1.72,
1.86,601,221.9,0.006,24,49.14,1.69,
1.89,606,223.3,0.006,24,46.08,1.66,
1.92,611,224.6,0.006,24,43.62,1.64,
1.95,616,225.9,0.0055,24,41.46,1.62,
1.98,621,227.1,0.0055,24,39.61,1.6,
2.01,626,228.3,0.0055,24,38.14,1.58,
2.04,632,229.4,0.0055,24,36.66,1.56,
2.07,637,230.5,0.0065,24.1,35.15,1.55,
2.1,642,231.5,0.0065,24.1,,,
2.13,647,232.5,0.006,24.1,,,
2.16,652,233.5,0.006,24.1,,,
2.19,657,234.4,0.006,24.1,,,
2.22,662,235.3,0.006,24.1,,,
Scope 1/1, Sample 1/18 (C14_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-87.3,NaN,23.9,,,
0.06,9,-87,0.0065,23.9,,,
0.12,27,-79.4,0.0035,23.9,,,
0.18,47,-70.4,0.003,23.9,,,
0.24,68,-58.9,0.003,23.9,,,
0.3,88,-42.6,0.003,24,,,
0.36,108,-20.2,0.003,24,,,
0.42,128,-2.3,0.003,24,,,
0.48,148,9.3,0.003,24,,,
0.54,168,18.7,0.003,24,,,
0.6,188,26.9,0.003,24,,,
0.66,208,34.4,0.003,24,,,
0.72,228,41.5,0.003,24,,,
0.78,249,48.5,0.003,24.1,,,
0.84,269,55.5,0.003,24.1,,,
0.9,289,62.2,0.003,24.1,,,
0.96,309,69.1,0.003,24.1,,,
1.02,329,76.6,0.003,24.1,,,
1.08,349,85,0.003,24.1,,,
1.14,368,94.9,0.003,24.1,,,
1.2,386,107.8,0.0035,24.2,289.04,2.46,
1.26,401,127.1,0.004,24.2,337.49,2.53,
1.32,412,154.5,0.0055,24.2,353.68,2.55,
1.38,419,175.8,0.008,24.2,320.44,2.51,
1.44,426,188.7,0.009,24.2,241.66,2.38,
1.47,523,193.4,0.0005,24.2,180.69,2.26,
1.5,528,197.4,0.0055,24.2,122.87,2.09,
1.53,534,201,0.005,24.2,102.49,2.01,
1.56,540,204.1,0.0055,24.2,95.59,1.98,
1.59,546,206.9,0.0055,24.2,87.68,1.94,
1.62,551,209.4,0.006,24.2,79.38,1.9,
1.65,556,211.6,0.006,24.2,72.44,1.86,
1.68,562,213.8,0.0055,24.2,67.02,1.83,
1.71,567,215.7,0.0065,24.2,62.36,1.79,
1.74,572,217.5,0.006,24.3,58.43,1.77,
1.77,577,219.2,0.006,24.3,54.6,1.74,
1.8,582,220.8,0.0055,24.3,51.08,1.71,
1.83,588,222.3,0.0055,24.3,48.28,1.68,
1.86,593,223.7,0.0065,24.3,45.61,1.66,
1.89,598,225,0.006,24.3,43.28,1.64,
1.92,603,226.3,0.006,24.3,41.66,1.62,
1.95,608,227.5,0.006,24.3,39.81,1.6,
1.98,613,228.7,0.006,24.3,37.8,1.58,
2.01,618,229.8,0.006,24.3,36,1.56,
2.04,623,230.9,0.006,24.3,34.29,1.54,
2.07,628,231.8,0.0055,24.3,,,
2.1,633,232.8,0.0055,24.3,,,
2.13,638,233.8,0.0055,24.3,,,
2.16,644,234.7,0.0055,24.3,,,
2.19,649,235.6,0.0065,24.3,,,
Scope 1/1, Sample 1/18 (C15_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-84.2,NaN,24.2,,,
0.06,9,-84.1,0.0065,24.2,,,
0.12,29,-75.9,0.003,24.3,,,
0.18,49,-66.2,0.003,24.3,,,
0.24,69,-53.4,0.003,24.3,,,
0.3,89,-35.4,0.003,24.3,,,
0.36,109,-12.4,0.003,24.3,,,
0.42,130,2.6,0.003,24.3,,,
0.48,150,12.9,0.003,24.3,,,
0.54,170,21.6,0.003,24.3,,,
0.6,190,29.5,0.003,24.3,,,
0.66,210,36.9,0.003,24.4,,,
0.72,230,44.2,0.003,24.4,,,
0.78,250,50.9,0.003,24.4,,,
0.84,270,57.4,0.003,24.4,,,
0.9,290,64.1,0.003,24.4,,,
0.96,311,71.1,0.003,24.4,,,
1.02,331,78.5,0.003,24.4,,,
1.08,350,87,0.003,24.4,,,
1.14,367,97,0.0035,24.4,,,
1.2,386,111,0.003,24.5,299.67,2.48,
1.26,400,131.9,0.0045,24.5,343.48,2.54,
1.32,410,159.3,0.006,24.5,351.1,2.55,
1.38,417,178.7,0.0085,24.5,308.8,2.49,
1.44,423,190.6,0.01,24.5,224.7,2.35,
1.47,520,195.2,0.0005,24.5,163.96,2.21,
1.5,526,199,0.0055,24.5,112.8,2.05,
1.53,531,202.4,0.006,24.5,98.68,1.99,
1.56,537,205.3,0.005,24.5,91.72,1.96,
1.59,542,208,0.0055,24.5,84.01,1.92,
1.62,548,210.4,0.0055,24.5,76.91,1.89,
1.65,553,212.6,0.006,24.5,70.83,1.85,
1.68,558,214.7,0.0055,24.5,65.56,1.82,
1.71,564,216.6,0.0055,24.5,60.69,1.78,
1.74,569,218.3,0.006,24.5,56.76,1.75,
1.77,574,220,0.006,24.5,53.08,1.72,
1.8,579,221.5,0.0055,24.6,50.08,1.7,
1.83,585,223,0.0055,24.6,47.81,1.68,
1.86,590,224.4,0.006,24.6,45.47,1.66,
1.89,595,225.7,0.006,24.6,43.14,1.63,
1.92,600,227,0.006,24.6,41,1.61,
1.95,605,228.2,0.006,24.6,38.61,1.59,
1.98,610,229.3,0.0055,24.6,36.81,1.57,
2.01,615,230.4,0.0055,24.6,34.95,1.54,
2.04,620,231.4,0.0055,24.6,,,
2.07,626,232.4,0.0055,24.6,,,
2.1,631,233.4,0.0065,24.6,,,
2.13,636,234.3,0.006,24.6,,,
2.16,641,235.3,0.006,24.6,,,
Scope 1/1, Sample 1/18 (C16_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-60.5,NaN,24.5,,,
0.06,10,-65.4,0.0065,24.5,,,
0.12,30,-54.5,0.003,24.5,,,
0.18,50,-39.8,0.003,24.5,,,
0.24,70,-19.8,0.003,24.5,,,
0.3,90,-2.1,0.003,24.5,,,
0.36,110,9.4,0.003,24.5,,,
0.42,130,18.4,0.003,24.6,,,
0.48,150,26,0.003,24.6,,,
0.54,170,32.9,0.003,24.6,,,
0.6,191,39.4,0.003,24.6,,,
0.66,211,45.5,0.003,24.6,,,
0.72,231,51.5,0.003,24.6,,,
0.78,251,57.3,0.003,24.6,,,
0.84,271,63.3,0.003,24.6,,,
0.9,291,69.2,0.003,24.6,,,
0.96,311,75.5,0.003,24.7,,,
1.02,332,82.4,0.003,24.7,,,
1.08,349,90.2,0.0035,24.7,,,
1.14,366,99.8,0.0035,24.7,,,
1.2,383,112.7,0.0035,24.7,280.12,2.45,
1.26,397,131.9,0.004,24.7,325.26,2.51,
1.32,408,157.5,0.0055,24.7,338.6,2.53,
1.38,415,177.5,0.008,24.7,304.71,2.48,
1.44,422,189.9,0.009,24.7,229.56,2.36,
1.47,519,194.6,0.0005,24.8,173.05,2.24,
1.5,525,198.6,0.005,24.8,121.5,2.08,
1.53,530,202,0.006,24.8,102.2,2.01,
